id,quality
1413,6
1415,5
1416,5
1417,6
1423,6
1424,7
1426,7
1427,6
1435,6
1440,6
1449,5
1452,6
1455,5
1457,6
1460,4
1462,3
1484,4
1486,5
1491,4
1497,5
1498,4
1502,5
1508,5
1509,8
1510,5
1525,5
1526,4
1546,8
1547,5
1550,6
1551,6
1556,6
1561,5
1570,6
1574,5
1580,5
1587,3
1594,6
1598,5
1604,6
1605,4
1625,3
1638,5
1642,6
1646,4
1648,4
1654,4
1658,5
1662,5
1665,6
1666,7
1669,5
1676,7
1685,6
1696,5
1704,6
1705,7
1708,4
1712,6
1719,7
1725,7
1732,7
1744,5
1748,6
1751,3
1753,6
1758,6
1760,6
1763,6
1770,7
1771,4
1779,6
1780,5
1785,4
1807,6
1810,6
1811,4
1818,6
1822,4
1824,5
1827,6
1836,5
1837,8
1840,6
1844,4
1862,6
1867,5
1868,6
1881,5
1883,6
1890,5
1891,5
1899,4
1914,6
1920,7
1928,4
1932,8
1933,6
1934,7
1936,5
1949,4
1950,5
1955,5
1964,5
1969,6
1978,8
1979,6
1982,7
1988,5
1992,6
1993,6
1998,7
1999,5
2003,5
2005,7
2016,5
2019,6
2031,6
2033,7
2034,6
2042,8
2047,5
2048,6
2054,6
2055,6
2060,4
2070,4
2077,6
2080,3
2086,7
2088,6
2091,6
2096,4
2102,6
2103,5
2108,5
2117,5
2129,5
2138,5
2144,4
2148,7
2154,7
2155,6
2165,5
2168,6
2174,6
2200,7
2203,6
2205,4
2210,5
2213,3
2215,5
2217,4
2228,5
2240,6
2241,6
2246,6
2251,5
2256,5
2283,8
2289,5
2292,5
2296,5
2300,5
2306,5
2313,6
2315,5
2316,4
2319,6
2330,7
2346,8
2349,5
2351,6
2360,5
2365,4
2370,5
2373,6
2376,5
2379,6
2380,4
2384,5
2385,5
2401,5
2406,6
2407,6
2410,5
2420,6
2422,6
2427,7
2429,5
2447,5
2451,5
2452,4
2455,7
2457,5
2461,5
2464,6
2485,5
2501,4
2506,4
2507,5
2509,7
2510,6
2515,6
2516,5
2517,6
2518,6
2547,6
2554,5
2555,6
2558,4
2559,6
2560,7
2571,5
2572,4
2574,4
2575,6
2581,5
2582,7
2585,5
2592,7
2593,7
2599,4
2603,7
2605,6
2609,6
2612,5
2615,5
2616,4
2620,5
2624,6
2628,6
2629,5
2634,5
2635,6
2637,3
2640,5
2644,4
2647,3
2649,7
2655,6
2658,6
2659,7
2667,5
2683,5
2686,6
2689,5
2694,4
2707,7
2708,5
2726,6
2728,4
2732,4
2742,5
2743,3
2745,6
2761,5
2768,6
2777,6
2779,6
2783,6
2800,5
2801,6
2808,4
2828,5
2834,6
2840,5
2842,7
2846,8
2850,6
2852,8
2868,6
2874,6
2881,7
2883,6
2891,6
2906,6
2908,3
2914,4
2918,6
2925,6
2934,5
2937,6
2940,6
2942,5
2952,5
2954,4
2960,7
2979,5
2982,3
2983,6
2987,7
2992,6
2996,4
2998,3
3005,7
3009,7
3015,5
3021,5
3028,6
3034,4
3035,6
3038,4
3040,6
3042,5
3044,5
3046,4
3047,5
3052,5
3057,6
3059,5
3060,5
3063,7
3064,7
3073,6
3075,6
3079,6
3080,3
3081,5
3084,6
3091,7
3095,5
3102,7
3103,4
3105,7
3108,7
3113,5
3115,4
3119,7
3123,5
3126,5
3129,5
3143,6
3163,7
3171,7
3173,3
3180,5
3188,6
3190,6
3192,4
3199,6
3204,4
3205,7
3213,6
3231,7
3234,5
3244,5
3247,7
3248,5
3252,4
3256,5
3258,6
3260,5
3261,7
3262,6
3265,5
3277,5
3279,6
3291,6
3303,5
3305,6
3309,5
3312,4
3316,4
3322,5
3323,4
3324,4
3329,4
3330,5
3334,6
3335,5
3336,7
3340,6
3345,4
3359,5
3365,5
3378,4
3392,5
3397,7
3408,4
3409,7
3410,6
3411,8
3416,5
3419,8
3420,7
3422,6
3423,5
3429,7
3432,6
3435,5
3441,3
3448,6
3452,6
3469,6
3476,4
3490,7
3494,6
3511,5
3523,4
3529,6
3533,7
3535,5
3541,4
3543,6
3545,3
3546,7
3550,5
3552,5
3554,6
3555,6
3559,5
3561,7
3563,5
3573,6
3579,7
3584,6
3589,6
3597,5
3604,6
3608,8
3613,4
3623,4
3639,8
3642,4
3649,4
3651,5
3660,5
3661,7
3673,7
3674,7
3675,6
3676,4
3681,5
3683,6
3684,5
3687,5
3690,5
3692,5
3701,6
3709,4
3713,6
3716,3
3721,5
3725,3
3730,6
3732,6
3735,6
3749,5
3757,5
3760,7
3767,5
3768,6
3780,5
3783,5
3800,7
3836,6
3839,8
3847,5
3850,7
3854,5
3856,5
3860,5
3862,6
3871,5
3874,5
3882,4
3883,6
3884,7
3885,8
3890,8
3893,4
3896,5
3897,5
3901,7
3903,4
3904,5
3909,6
3930,6
3932,7
3934,5
3943,6
3946,6
3949,5
3955,5
3958,5
3966,5
3967,7
3971,5
3972,6
3975,6
3976,7
3983,6
3987,6
3988,6
3995,7
4002,7
4024,5
4026,8
4029,5
4030,6
4031,6
4035,6
4036,4
4037,7
4038,4
4043,4
4052,7
4054,7
4055,4
4057,6
4059,6
4063,6
4069,5
4071,5
4086,5
4087,6
4101,5
4102,5
4110,5
4115,8
4116,5
4121,5
4129,6
4135,7
4136,7
4137,5
4143,6
4146,5
4159,6
4160,6
4165,5
4166,7
4173,4
4175,8
4176,4
4178,4
4182,7
4186,7
4189,7
4199,7
4203,6
4206,6
4210,5
4219,6
4231,6
4237,3
4240,6
4247,6
4249,5
4250,6
4251,6
4259,7
4261,5
4272,7
4274,6
4276,6
4277,6
4278,6
4280,4
4281,5
4285,6
4287,7
4288,6
4290,4
4299,5
4302,6
4305,5
4307,6
4308,5
4321,4
4323,6
4327,3
4328,5
4334,5
4336,5
4344,5
4347,8
4352,4
4355,5
4365,5
4370,6
4373,4
4375,7
4376,6
4378,7
4382,7
4391,7
4395,6
4403,8
4408,6
4413,4
4415,6
4416,7
4417,5
4422,7
4428,5
4435,5
4438,6
4439,6
4445,5
4448,6
4451,4
4453,6
4457,6
4459,6
4467,6
4470,6
4474,7
4476,6
4481,8
4489,6
4497,4
4500,4
4506,7
4507,7
4510,6
4515,7
4516,4
4518,6
4521,4
4523,6
4532,4
4534,6
4537,8
4550,5
4562,5
4567,3
4570,5
4571,5
4574,5
4577,5
4579,6
4580,5
4587,6
4595,5
4601,7
4607,6
4613,6
4614,4
4617,7
4618,5
4620,5
4621,5
4623,3
4636,5
4641,6
4648,5
4651,6
4658,4
4659,6
4661,6
4669,6
4674,6
4675,6
4678,7
4681,5
4689,6
4693,4
4698,6
4701,6
4703,7
4710,8
4714,7
4720,6
4726,7
4727,5
4741,4
4745,5
4749,8
4755,6
4757,7
4765,7
4774,8
4775,6
4786,5
4787,5
4804,6
4808,6
4811,7
4817,5
4827,6
4828,6
4831,6
4837,7
4839,5
4844,6
4850,6
4853,7
4854,6
4859,5
4862,6
4864,6
4877,8
4878,5
4880,4
4890,5
4892,6
4906,5
4907,4
4908,6
4909,5
4911,5
4922,7
4929,8
4930,6
4941,5
4942,4
4944,6
4959,5
4960,5
4969,7
4971,4
4973,6
4984,7
4988,6
4989,5
4991,5
4992,6
4996,5
4999,5
5001,7
5008,4
5016,5
5018,6
5019,5
5039,5
5041,6
5043,6
5047,5
5052,5
5055,7
5059,4
5061,6
5065,6
5068,7
5070,5
5071,7
5072,8
5080,6
5081,5
5082,5
5085,5
5093,5
5094,6
5098,6
5100,4
5102,6
5110,5
5112,7
5116,5
5129,4
5131,6
5135,3
5148,5
5150,7
5151,6
5153,4
5160,6
5161,8
5162,6
5177,5
5179,6
5180,6
5182,6
5186,6
5189,6
5195,6
5207,6
5222,5
5225,6
5226,5
5227,8
5228,6
5229,6
5243,3
5247,4
5254,7
5259,5
5266,6
5272,6
5292,4
5294,4
5315,6
5317,5
5320,4
5326,6
5331,5
5338,6
5339,5
5342,6
5343,6
5346,6
5347,7
5350,8
5352,5
5356,5
5362,4
5367,8
5370,5
5383,6
5384,5
5391,3
5394,6
5397,5
5403,6
5410,5
5414,7
5425,5
5427,5
5440,3
5442,7
5447,6
5457,5
5459,6
5462,6
5463,4
5464,5
5466,5
5477,7
5484,4
5489,6
5491,4
5492,6
5494,3
5500,4
5508,5
5509,3
5510,6
5513,5
5530,6
5532,7
5536,5
5537,7
5538,6
5541,4
5544,5
5557,6
5559,6
5562,7
5567,6
5570,4
5572,5
5578,5
5580,5
5586,4
5588,7
5597,6
5602,5
5617,4
5619,6
5637,6
5641,6
5642,6
5643,3
5646,6
5658,5
5661,7
5662,4
5668,5
5673,6
5685,7
5687,6
5715,6
5718,5
5736,4
5738,5
5740,7
5742,4
5743,7
5745,4
5747,6
5753,6
5763,5
5767,5
5784,7
5785,5
5793,5
5795,4
5810,5
5811,6
5815,6
5820,5
5822,5
5823,6
5826,5
5830,6
5845,6
5847,4
5854,5
5856,5
5870,4
5876,6
5878,4
5879,5
5880,4
5883,5
5892,8
5901,3
5906,6
5909,4
5920,6
5924,6
5930,7
5938,5
5942,5
5953,6
5959,5
5960,7
5965,5
5970,6
5971,6
5977,6
5982,4
5984,5
5990,4
5991,6
5994,6
5999,6
6008,5
6012,6
6015,6
6019,3
6031,5
6033,7
6038,4
6040,3
6049,6
6052,7
6053,4
6054,5
6058,6
6066,5
6078,7
6085,6
6088,7
6091,6
6098,5
6102,7
6108,6
6112,6
6114,3
6115,7
6116,7
6125,4
6135,5
6138,5
6140,4
6144,5
6145,4
6147,6
6152,6
6156,6
6157,5
6159,5
6163,7
6171,4
6177,5
6178,4
6183,5
6185,4
6186,7
6188,5
6193,4
6194,5
6196,7
6198,6
6217,4
6221,5
6230,6
6232,5
6233,7
6241,5
6243,4
6255,5
6264,7
6267,6
6272,5
6273,5
6275,3
6277,8
6278,4
6287,6
6288,6
6290,4
6291,6
6296,5
6301,7
6312,7
6315,6
6318,6
6320,8
6326,5
6329,6
6330,6
6331,4
6338,8
6344,6
6347,7
6363,7
6366,5
6369,6
6370,5
6372,4
6373,6
6374,3
6375,6
6383,5
6388,6
6390,6
6393,5
6394,5
6395,7
6396,6
6401,6
6402,4
6403,5
6407,6
6412,4
6413,3
6416,5
6421,4
6430,5
6456,8
6458,5
6467,4
6471,7
6474,4
6475,5
6481,4
6482,6
6484,7
6490,6
6495,6
6496,5
