id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,wine_type,quality
85,7.4,0.4,0.04,1.5,0.068,19,51,0.9966,3.37,0.66,10.0,red,7
86,5.6,0.12,0.22,1.1,0.118,27,90,0.9992,3.06,0.3,10.6,white,6
87,7.0,0.44,0.1,11.9,0.093,4,53,0.9982,3.67,0.45,10.1,red,5
88,4.6,0.57,0.19,2.6,0.152,50,43,0.9976,3.19,0.33,10.7,red,5
89,9.9,0.46,0.24,5.4,0.141,15,56,0.9967,2.93,0.72,8.7,red,5
90,6.5,0.22,0.25,8.1,0.053,34,138,0.9883,3.11,0.3,12.1,white,6
92,7.0,0.15,0.33,1.7,0.028,27,123,0.9921,3.15,0.67,11.3,white,8
93,6.5,0.24,0.51,7.3,0.037,57,110,0.9953,2.88,0.58,9.9,white,6
94,7.0,0.31,0.24,15.9,0.075,35,77,0.9896,3.25,0.42,11.2,white,5
96,7.4,0.3,0.26,1.1,0.012,51,141,0.9902,3.12,0.44,11.3,white,6
97,9.2,0.4,0.05,2.7,0.041,16,67,0.9988,3.69,0.52,12.3,red,6
98,7.0,0.35,0.38,18.2,0.024,22,133,0.9985,3.13,0.73,12.3,white,7
99,7.0,0.25,0.39,0.6,0.058,45,134,0.9928,3.17,0.54,11.8,white,7
100,6.5,0.47,0.14,0.9,0.121,13,42,0.9981,3.32,0.72,11.7,red,6
101,9.9,0.49,0.43,2.8,0.082,17,112,0.9942,3.28,0.96,11.1,red,7
102,7.1,0.55,0.32,17.4,0.009,42,135,0.991,3.38,0.4,11.8,white,6
103,6.8,0.25,0.19,7.6,0.078,41,157,0.9967,3.09,0.6,9.8,white,6
104,8.1,0.43,0.12,4.3,0.028,54,193,0.9968,3.39,0.46,10.7,white,4
105,8.0,0.58,0.18,0.9,0.05,13,19,0.9972,3.29,0.78,10.5,red,6
106,6.4,0.34,0.45,13.7,0.046,18,167,0.9919,3.38,0.63,11.4,white,7
108,6.3,0.35,0.17,5.9,0.009,44,168,0.9929,3.27,0.69,11.4,white,5
109,6.6,0.18,0.39,0.6,0.016,44,169,0.9942,3.0,0.64,12.7,white,7
111,6.4,0.21,0.34,1.1,0.126,2,90,0.9893,2.9,0.54,8.6,white,5
112,6.0,0.16,0.22,14.8,0.009,24,126,0.9943,3.24,0.55,12.2,white,6
113,10.9,0.21,0.04,1.7,0.199,1,56,0.9953,3.28,0.62,11.2,red,7
115,6.2,0.43,0.55,10.5,0.027,19,162,0.9958,3.1,0.28,9.4,white,4
117,6.0,0.22,0.18,3.1,0.145,70,225,0.9957,3.18,0.42,10.8,white,5
118,5.8,0.27,0.48,7.3,0.194,30,114,0.9965,3.13,0.54,10.6,white,7
119,10.7,0.53,0.08,2.8,0.078,3,42,0.9946,3.74,0.45,11.7,red,4
122,6.8,0.34,0.27,0.6,0.185,35,119,0.9948,3.39,0.48,9.3,white,6
123,6.0,0.19,0.44,2.4,0.012,46,189,0.9919,3.27,0.73,10.2,white,7
124,6.8,0.46,0.36,6.7,0.079,30,220,0.9956,3.0,0.42,9.0,white,5
125,8.7,0.36,0.32,3.9,0.188,48,135,0.9971,3.68,0.38,8.0,white,4
126,7.3,0.24,0.49,0.6,0.071,37,21,0.9985,3.24,0.55,10.6,white,8
128,4.5,0.21,0.27,0.6,0.03,2,55,0.997,3.09,0.71,8.8,white,7
130,7.9,0.61,0.32,1.7,0.151,16,87,0.9953,3.21,0.59,11.0,red,7
131,7.9,0.45,0.09,0.9,0.101,2,44,0.9962,3.61,0.73,11.0,red,6
132,8.9,0.48,0.1,2.2,0.087,1,23,0.9974,3.24,0.72,9.9,red,5
133,7.3,0.38,0.37,11.2,0.018,64,141,0.9944,3.15,0.46,11.4,white,6
134,7.2,0.33,0.2,5.7,0.052,40,128,0.9943,3.22,0.58,12.0,white,5
135,7.3,0.08,0.36,5.5,0.044,2,123,0.9901,3.2,0.6,10.1,white,8
136,7.6,0.29,0.48,4.7,0.015,17,120,0.9882,3.08,0.47,8.0,white,5
137,5.8,0.39,0.0,11.6,0.092,46,116,0.9899,3.11,0.44,11.0,white,5
140,8.0,0.29,0.43,1.2,0.009,58,205,0.9955,3.04,0.64,10.6,white,6
141,6.4,0.24,0.36,1.4,0.019,33,187,0.9912,3.38,0.41,9.6,white,5
142,6.8,0.28,0.23,1.1,0.101,21,215,0.9909,3.03,0.62,10.0,white,4
145,7.5,0.44,0.48,0.9,0.009,46,105,0.9968,3.32,0.43,12.4,white,6
146,6.7,0.24,0.49,4.0,0.009,32,164,0.9929,3.12,0.45,9.1,white,6
147,8.7,0.19,0.47,1.4,0.028,9,95,0.9942,3.45,0.66,10.9,white,6
149,6.4,0.25,0.28,1.4,0.023,40,108,0.9931,3.15,0.58,12.3,white,6
150,6.4,0.22,0.05,1.6,0.056,18,6,0.9944,3.26,0.37,10.6,red,5
151,7.1,0.33,0.24,7.7,0.042,37,133,0.9966,3.53,0.35,10.1,white,4
152,11.6,0.41,0.12,2.6,0.082,27,28,0.996,3.03,0.78,10.6,red,6
153,7.0,0.41,0.25,9.2,0.064,24,184,0.9952,3.29,0.54,11.8,white,5
155,7.9,0.18,0.39,0.6,0.025,50,180,0.9933,3.23,0.63,10.7,white,6
156,5.3,0.26,0.18,13.7,0.009,21,153,0.9978,2.95,0.26,10.8,white,3
157,9.4,0.5,0.01,3.6,0.069,14,105,0.9977,3.1,0.94,11.0,red,7
159,8.2,0.64,0.31,0.9,0.012,34,45,0.9982,3.45,0.41,11.8,red,6
160,7.8,0.35,0.21,0.8,0.013,46,47,0.9947,3.25,0.44,10.9,white,6
161,6.5,0.23,0.26,2.2,0.009,34,82,0.9929,3.31,0.43,9.7,white,6
162,6.4,0.29,0.32,3.1,0.05,14,87,0.9909,3.06,0.53,9.0,white,5
163,7.3,0.22,0.36,2.1,0.138,45,115,0.9935,3.2,0.31,9.2,white,3
164,6.2,0.32,0.25,1.1,0.085,18,90,0.9881,3.19,0.33,10.6,white,4
165,6.4,0.25,0.12,3.4,0.033,35,133,0.9932,3.17,0.56,12.1,white,6
166,6.1,0.4,0.1,18.2,0.088,45,148,0.9956,3.04,0.45,8.4,white,3
167,8.4,0.39,0.08,0.9,0.111,11,64,0.9926,3.52,0.59,11.2,red,6
168,7.9,0.18,0.29,8.2,0.032,45,128,0.9954,2.96,0.39,11.5,white,7
169,7.0,0.39,0.25,0.6,0.009,29,126,0.9992,3.12,0.62,8.8,white,4
170,7.4,0.43,0.33,6.8,0.009,31,91,0.9911,3.26,0.6,9.4,white,6
171,6.4,0.25,0.18,18.6,0.009,27,144,0.9938,3.25,0.54,10.5,white,4
172,7.9,0.09,0.2,6.0,0.039,53,168,0.987,2.97,0.36,11.4,white,5
173,6.3,0.25,0.41,27.0,0.018,63,75,0.9904,3.11,0.47,10.2,white,7
175,7.4,0.33,0.24,0.6,0.022,40,196,0.9944,3.15,0.58,10.4,white,4
177,7.2,0.75,0.09,1.6,0.184,20,71,0.9998,3.28,0.66,11.0,red,6
178,7.4,0.56,0.35,2.9,0.101,31,14,0.9974,3.3,0.56,9.2,red,5
179,11.6,0.77,0.03,4.3,0.056,5,74,1.0001,3.26,0.79,11.3,red,4
180,5.9,0.31,0.28,0.9,0.18,21,147,0.995,2.78,0.51,10.7,white,7
181,7.5,0.3,0.4,3.1,0.022,42,92,0.9917,3.21,0.22,10.9,white,7
183,6.6,0.13,0.3,4.5,0.017,48,183,0.9951,3.18,0.56,10.6,white,6
184,6.6,0.24,0.35,10.0,0.017,48,187,0.9928,3.39,0.49,11.2,white,6
185,8.2,0.33,0.22,6.3,0.012,39,93,1.0009,3.51,0.39,10.5,white,5
186,7.6,0.31,0.38,9.9,0.043,46,173,0.994,3.38,0.59,8.5,white,4
187,6.5,0.22,0.23,4.1,0.035,33,57,0.9932,3.2,0.57,8.9,white,6
189,8.3,0.68,0.1,0.9,0.165,8,49,0.9971,3.51,0.57,11.3,red,5
190,10.9,0.55,0.55,0.9,0.012,30,6,0.9976,3.23,0.48,10.4,red,4
191,5.8,0.27,0.52,4.4,0.011,40,159,0.9962,3.18,0.55,12.9,white,7
192,10.9,0.88,0.99,4.3,0.093,4,18,0.9976,3.49,0.52,10.3,red,5
193,7.4,0.27,0.19,1.7,0.009,29,138,0.9919,3.32,0.52,10.6,white,6
194,8.0,0.32,0.28,1.0,0.234,11,51,0.9967,3.43,0.5,11.1,red,6
195,5.9,0.27,0.53,18.5,0.009,50,213,0.9917,3.02,0.48,9.0,white,5
196,7.5,0.08,0.49,14.0,0.01,28,104,0.995,3.25,0.51,8.6,white,6
197,8.2,0.43,1.0,0.9,0.175,8,37,0.9964,3.46,0.7,11.1,red,6
198,6.0,0.15,0.36,4.3,0.049,66,134,0.9974,3.22,0.74,11.4,white,7
200,7.2,0.45,0.27,7.0,0.232,35,128,0.9936,3.14,0.56,11.7,white,5
202,6.7,0.24,0.42,1.9,0.009,11,96,0.9945,3.14,0.49,10.0,white,6
203,5.4,0.48,0.14,8.6,0.057,8,6,0.9952,3.13,0.62,11.3,red,5
205,6.6,0.32,0.48,12.3,0.033,35,133,0.9924,3.43,0.42,10.3,white,5
206,8.2,0.16,0.34,0.6,0.009,12,171,0.993,2.95,0.66,10.4,white,6
207,6.7,0.44,0.43,4.3,0.029,24,63,0.997,3.45,0.45,10.9,white,6
208,6.7,0.23,0.57,6.0,0.052,37,170,0.9973,2.87,0.45,9.3,white,5
209,6.7,0.22,0.24,1.3,0.086,26,167,0.9914,3.42,0.49,11.8,white,6
211,6.6,0.57,0.01,0.9,0.128,5,6,0.9938,3.3,0.65,10.9,red,7
212,5.6,0.28,0.32,7.9,0.128,27,109,0.9959,3.26,0.5,10.8,white,6
213,6.6,0.28,0.22,21.8,0.009,94,139,0.9909,3.54,0.57,10.1,white,5
217,6.8,0.38,0.41,2.2,0.036,11,105,0.9952,3.07,0.22,10.7,white,5
219,7.6,0.21,0.41,0.6,0.009,31,150,0.9909,3.33,0.56,10.2,white,7
222,6.1,0.52,0.33,4.3,0.018,55,120,0.9897,3.13,0.37,12.2,white,5
223,7.5,0.22,0.41,5.8,0.093,28,99,0.9927,3.22,0.56,11.7,white,6
224,5.7,0.29,0.32,4.7,0.055,25,130,0.9998,3.32,0.57,10.3,white,6
225,8.6,0.17,0.27,10.2,0.02,50,128,0.9904,3.08,0.65,13.8,white,8
226,5.7,0.39,0.37,2.6,0.009,28,121,0.9904,2.97,0.34,11.4,white,6
228,9.2,0.62,1.0,3.6,0.146,5,113,0.9975,3.5,0.66,10.4,red,6
229,7.8,0.44,0.34,3.5,0.009,45,145,0.9948,3.11,0.56,10.6,white,6
231,7.1,0.38,0.31,12.4,0.027,19,148,0.9962,3.15,0.58,8.5,white,5
232,6.9,0.2,0.31,7.3,0.02,22,93,0.9903,3.33,0.6,10.1,white,7
235,5.7,0.41,0.36,10.4,0.017,58,186,0.9951,3.07,0.56,11.3,white,5
236,8.5,0.35,0.18,7.1,0.009,15,234,0.9909,3.13,0.44,10.2,white,4
237,8.1,0.38,0.34,1.0,0.094,31,130,0.9968,3.3,0.47,9.1,white,3
238,6.0,0.19,0.32,5.8,0.037,32,87,0.9964,3.03,0.47,10.8,white,8
239,8.0,0.4,0.57,4.0,0.069,63,158,0.9999,3.29,0.38,10.8,white,6
240,7.3,0.29,0.4,5.6,0.105,24,95,0.9901,3.29,0.59,9.1,white,5
241,8.3,0.67,0.22,0.9,0.116,6,39,0.9994,3.5,0.33,10.2,red,5
242,6.9,0.31,0.26,5.9,0.073,9,169,0.9952,3.09,0.48,9.3,white,4
243,7.0,0.18,0.23,2.4,0.148,38,174,0.987,3.01,0.51,11.8,white,6
244,5.9,0.27,0.29,7.6,0.057,52,166,0.9947,3.26,0.36,11.0,white,5
246,4.7,0.17,0.48,2.2,0.02,41,146,0.9952,3.3,0.58,11.0,white,8
247,7.2,0.7,0.36,0.9,0.126,42,117,0.9965,3.35,0.9,11.9,red,6
248,7.1,0.08,0.35,36.0,0.036,28,120,0.9978,2.93,0.57,8.0,white,4
249,7.3,0.42,0.37,4.6,0.097,54,118,0.9948,3.09,0.45,9.4,white,4
250,6.8,0.25,0.53,17.4,0.083,24,118,0.9903,3.16,0.42,11.4,white,7
251,6.7,0.26,0.14,7.5,0.009,7,144,0.9883,3.45,0.46,9.5,white,4
252,7.4,0.12,0.29,1.5,0.084,18,96,0.9981,3.0,0.64,12.1,white,8
253,6.7,0.35,0.33,22.2,0.055,65,93,0.9978,3.28,0.59,9.7,white,4
254,7.0,0.44,0.16,9.1,0.012,44,26,0.9981,3.35,0.51,12.3,red,7
255,6.6,0.42,0.27,2.8,0.082,29,34,0.9943,3.25,0.39,8.8,white,5
256,7.3,0.12,0.47,0.8,0.043,27,195,0.9925,3.38,0.62,12.5,white,8
257,7.6,0.27,0.5,4.1,0.1,53,174,0.9991,3.09,0.59,11.5,white,7
258,6.7,0.08,0.26,4.7,0.041,12,117,0.996,3.26,0.6,10.3,white,6
259,8.4,0.64,0.06,5.0,0.012,62,6,0.9962,3.33,0.62,10.0,red,5
260,6.5,0.09,0.48,3.1,0.103,52,155,0.9919,3.06,0.57,12.2,white,8
261,7.1,0.35,0.42,4.0,0.03,62,99,0.9929,3.19,0.44,12.0,white,5
262,6.5,0.26,0.28,11.2,0.009,19,84,0.9974,2.96,0.54,10.5,white,6
264,7.0,0.17,0.35,12.2,0.01,10,151,0.991,3.12,0.4,11.3,white,6
266,7.0,0.42,0.26,9.5,0.02,53,174,0.9917,3.45,0.48,8.8,white,3
268,5.4,0.1,0.3,10.2,0.048,30,133,0.9873,3.28,0.5,9.3,white,6
269,7.0,0.29,0.3,8.8,0.011,34,120,0.9906,3.19,0.44,11.6,white,6
270,6.1,0.35,0.17,7.2,0.009,43,157,0.9952,3.34,0.64,11.4,white,4
271,7.0,0.14,0.17,0.6,0.111,58,161,0.9933,3.17,0.59,10.0,white,4
272,6.0,0.34,0.29,9.7,0.011,28,148,0.998,2.92,0.57,8.9,white,3
273,6.1,0.19,0.37,4.9,0.115,45,173,0.9932,3.28,0.4,11.1,white,5
274,7.3,0.31,0.21,3.9,0.058,1,82,0.9998,3.31,0.61,12.0,red,8
276,7.3,0.15,0.44,1.7,0.05,49,149,0.9941,3.38,0.46,11.1,white,8
278,7.7,0.3,0.41,11.2,0.073,29,104,0.9924,3.41,0.63,12.1,white,7
279,7.5,0.14,0.27,1.3,0.049,38,92,0.9944,3.34,0.53,10.4,white,6
280,7.1,0.17,0.45,7.5,0.022,53,172,0.9953,3.14,0.46,10.0,white,4
282,7.0,0.25,0.31,12.2,0.011,26,68,0.9996,3.04,0.35,9.7,white,6
283,8.0,0.31,0.43,4.0,0.009,43,228,0.9921,3.24,0.55,9.8,white,5
284,4.9,0.36,0.02,0.9,0.041,21,128,0.9994,3.26,0.78,9.0,red,5
285,7.4,0.43,0.23,1.9,0.038,22,142,0.9964,3.08,0.49,9.9,white,5
286,7.7,0.38,0.15,1.8,0.021,15,129,0.9947,3.22,0.58,13.4,white,7
287,5.6,0.18,0.46,3.8,0.035,33,122,0.9952,3.44,0.46,10.3,white,6
288,6.9,0.31,0.09,9.3,0.033,31,186,0.987,3.22,0.36,11.7,white,4
289,7.1,0.15,0.22,8.5,0.065,61,51,0.9951,2.9,0.47,11.4,white,6
290,7.2,0.63,0.41,0.9,0.112,13,83,0.9967,3.33,0.68,10.6,red,6
291,7.3,0.35,0.42,1.4,0.011,48,147,0.9893,3.3,0.57,11.8,white,5
292,8.4,0.46,0.39,0.9,0.117,25,65,0.9957,3.2,0.46,9.6,red,4
293,7.6,0.37,0.5,0.8,0.069,27,143,0.9946,3.01,0.65,11.3,white,7
294,6.1,0.28,0.22,0.7,0.027,14,63,0.9972,3.16,0.48,8.8,white,5
295,6.5,0.32,0.0,10.9,0.1,48,168,0.9949,3.27,0.28,12.3,white,5
296,6.8,0.24,0.36,6.1,0.054,43,116,0.9949,3.29,0.42,9.7,white,6
298,5.5,0.16,0.38,3.5,0.087,62,128,0.9924,3.11,0.31,10.0,white,5
299,8.2,0.2,0.3,3.9,0.061,5,109,0.993,3.23,0.33,10.6,white,5
300,6.7,0.28,0.4,2.4,0.013,27,62,0.9986,2.93,0.48,11.1,white,7
301,6.3,0.35,0.24,5.3,0.197,66,169,0.99,3.34,0.45,10.0,white,3
302,7.1,0.09,0.57,5.9,0.058,18,87,0.9968,3.24,0.49,11.3,white,8
303,6.3,0.23,0.47,1.4,0.009,44,134,0.9929,3.22,0.4,11.2,white,7
304,6.6,0.18,0.31,0.7,0.009,22,140,0.9901,3.32,0.51,9.6,white,4
305,7.2,0.39,0.4,4.4,0.033,27,176,0.9907,3.39,0.62,13.6,white,8
306,10.1,0.43,0.02,0.9,0.133,37,87,0.9934,3.41,0.58,11.3,red,6
308,7.4,0.29,0.53,3.7,0.019,31,80,0.9987,3.09,0.31,12.1,white,6
309,8.6,0.23,0.92,1.4,0.106,32,62,0.9948,3.39,0.83,10.1,red,7
310,5.9,0.24,0.23,1.7,0.133,7,65,0.9907,3.37,0.65,8.7,white,6
311,6.6,0.08,0.54,0.6,0.071,20,108,0.9969,3.02,0.54,11.1,white,7
312,12.1,0.7,0.07,0.9,0.122,14,42,0.9921,3.49,0.71,10.5,red,5
313,6.0,0.44,1.0,0.9,0.135,6,6,0.9957,3.5,0.92,10.5,red,7
314,5.8,0.33,0.33,18.5,0.07,26,99,0.994,2.89,0.36,8.7,white,5
315,7.7,0.38,0.28,3.4,0.025,26,125,0.9874,3.13,0.46,10.5,white,4
316,9.2,0.74,0.02,0.9,0.125,5,49,0.995,3.43,0.63,11.3,red,6
319,5.8,0.17,0.32,8.7,0.009,24,102,1.0015,2.77,0.51,10.0,white,6
320,7.1,0.44,0.12,5.3,0.009,41,125,0.9922,3.24,0.52,10.2,white,5
322,8.2,0.18,0.23,0.6,0.009,52,123,0.9967,3.14,0.64,12.2,white,7
323,6.9,0.14,0.41,11.7,0.022,40,169,0.9989,3.09,0.52,10.1,white,6
324,6.5,0.3,0.46,4.3,0.024,47,131,0.9949,3.1,0.51,8.1,white,4
325,7.8,0.16,0.13,9.5,0.129,36,100,0.9894,3.19,0.45,12.9,white,7
326,5.4,0.26,0.4,1.2,0.075,36,151,0.9927,3.18,0.67,11.4,white,7
327,7.6,0.67,0.59,0.9,0.125,13,17,0.9974,3.39,0.77,12.7,red,6
328,6.1,0.11,0.36,19.5,0.039,13,120,0.9986,3.0,0.47,9.3,white,6
329,7.5,0.38,0.52,15.6,0.065,19,208,0.9898,3.14,0.59,9.0,white,5
330,7.3,0.33,0.26,34.6,0.08,23,131,0.9978,3.11,0.53,10.6,white,5
332,7.9,0.2,0.38,2.3,0.03,2,189,0.997,2.87,0.47,11.1,white,6
333,6.4,0.24,0.31,1.4,0.045,33,145,0.9977,3.2,0.38,10.8,white,6
334,6.9,0.46,0.16,0.6,0.047,23,226,0.9961,3.22,0.43,11.2,white,4
335,8.1,0.4,0.43,10.2,0.102,41,185,0.9969,3.32,0.45,11.7,white,7
336,6.8,0.11,0.46,23.5,0.03,26,157,0.9932,3.12,0.63,13.6,white,7
337,5.8,0.46,0.79,1.8,0.211,18,6,0.9984,3.11,0.33,9.1,red,6
338,8.1,0.22,0.12,0.9,0.057,45,6,0.9969,3.7,0.47,11.9,red,7
339,7.9,0.58,0.27,6.5,0.03,15,16,0.9975,3.37,0.44,9.8,red,3
340,4.9,0.71,0.79,0.9,0.012,31,70,0.9951,3.53,0.81,11.1,red,5
341,11.6,0.92,0.46,0.9,0.102,4,60,0.9953,3.07,0.75,9.2,red,5
342,6.3,0.23,0.25,13.6,0.009,15,224,0.9966,3.06,0.29,10.5,white,5
343,6.3,0.23,0.41,6.3,0.102,3,98,0.9923,3.32,0.5,9.6,white,6
344,9.0,0.66,0.03,0.9,0.159,9,72,0.9972,3.13,0.69,9.4,red,5
345,6.9,0.42,0.15,13.5,0.013,35,171,0.9923,3.17,0.43,10.0,white,4
346,6.1,0.34,0.31,1.1,0.077,70,154,0.9919,3.14,0.49,10.2,white,5
347,5.5,0.2,0.49,0.6,0.043,65,135,0.9935,3.29,0.75,11.1,white,7
349,13.1,0.45,0.28,2.6,0.121,6,52,1.0003,3.39,0.44,10.7,red,5
350,8.0,0.32,0.23,18.0,0.012,25,122,0.992,3.17,0.29,10.1,white,3
351,7.6,0.17,0.48,15.2,0.069,79,176,0.9952,3.17,0.46,10.7,white,6
352,6.9,0.16,0.3,6.8,0.009,41,145,0.9947,3.07,0.62,9.4,white,6
353,5.7,0.75,0.53,2.8,0.084,30,56,0.9988,3.17,0.73,11.3,red,6
354,4.4,0.35,0.17,6.6,0.082,14,137,0.9944,3.26,0.58,11.5,white,7
355,6.7,0.23,0.23,1.2,0.022,37,184,0.9899,3.02,0.36,10.4,white,4
357,6.2,0.33,0.42,6.9,0.038,45,59,0.9895,3.33,0.57,9.1,white,5
358,7.2,0.35,0.16,12.5,0.045,45,106,0.9919,3.32,0.48,9.6,white,4
359,7.0,0.16,0.19,2.0,0.032,39,158,0.992,3.25,0.38,11.8,white,6
360,8.9,0.99,0.08,1.3,0.041,4,95,0.9952,3.15,0.51,11.3,red,4
