id,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
20,80000,1,2,2,32,1,8,0,0,2,0,40057,45108,21920,27683,15212,16320,7718,45108,10494,2719,2923,3491,1
22,200000,2,4,2,48,-1,-1,0,0,-1,1,89921,71656,83413,70636,108070,104621,89921,32672,21863,25898,22702,37242,0
24,50000,1,1,1,71,-1,1,6,1,-1,0,25288,15522,13763,5320,19652,29485,25288,5030,5259,5320,6110,19098,0
25,50000,2,0,1,30,8,-1,0,6,-2,-1,27917,31567,14840,10263,20557,24585,11637,14618,14840,1484,11302,10563,0
26,100000,2,1,2,59,-1,2,-2,2,2,0,41714,22251,19844,21268,40105,32553,17354,7525,5486,8821,40105,25079,0
27,50000,1,1,1,47,-1,2,-2,0,-1,-2,34590,14263,31729,14014,24754,30274,34590,14263,17377,4109,6553,16638,0
28,10000,1,2,2,73,-1,-1,2,3,-1,5,2472,3454,6417,8185,5482,4246,776,640,1384,663,1678,1521,0
31,10000,2,1,2,54,1,-1,4,-1,-1,6,3628,3349,7821,4190,4537,5872,3628,1625,1749,706,1573,5872,1
32,100000,2,6,2,43,2,0,-1,-2,-1,-1,43916,58028,92128,48327,66117,26792,24883,58028,66697,4327,36892,13939,0
33,200000,2,3,2,48,4,-1,-1,1,-1,0,105758,118530,80691,134425,129100,71249,18491,32677,9739,134425,37622,40677,0
34,30000,2,1,2,43,3,-1,6,0,-1,5,19140,10266,11783,13437,19291,10926,7385,2109,1877,4712,3578,3189,0
35,150000,1,1,2,26,4,-1,4,3,0,5,88197,38716,29339,49971,50368,149913,88197,5848,9336,49971,26598,41852,0
36,20000,2,1,1,50,-1,-1,-1,1,0,-1,6309,13882,9279,10788,5119,8751,1432,3707,4119,3023,2705,2419,0
37,100000,2,2,1,72,0,0,-1,1,-1,0,57573,56996,50202,43279,56408,41408,21172,30109,37435,8851,27216,11427,0
38,100000,1,1,1,25,4,0,-1,-1,0,-1,27749,52214,18637,22706,71823,76838,17229,13108,8016,3988,39209,36868,0
39,20000,1,2,2,43,-1,2,0,2,-1,1,8936,12204,13368,5458,7018,5585,2372,12204,7498,1746,892,5585,0
40,300000,2,2,2,41,-1,-2,0,0,-1,-1,145356,307130,53091,83381,119213,102125,33600,161236,29027,83381,17649,24873,0
41,30000,1,2,1,29,-1,-1,1,2,8,6,12748,19561,8576,24618,19278,9874,2245,5710,3544,15873,5665,3450,0
42,50000,2,3,1,39,-1,0,-1,-1,-2,3,26266,42609,14141,31349,13667,40515,14149,11948,14141,9540,5440,40515,0
43,20000,1,1,2,54,0,-1,0,-1,-1,-1,4799,10660,16235,15594,7451,5078,1444,2257,6860,5736,692,1104,0
44,30000,2,2,2,47,-1,0,1,5,-1,2,23114,11889,9766,18058,21456,20973,6885,4676,2976,5249,7567,4827,0
45,100000,2,2,2,31,0,-1,-1,3,0,-1,43217,32187,12299,27833,42053,35616,16623,23047,3931,14732,14440,18499,0
47,20000,1,2,2,69,3,-1,6,-1,0,0,7923,15243,6080,5250,9175,4357,3784,5727,1973,1385,3241,1565,1
48,20000,1,1,1,61,0,-1,0,-1,4,6,10144,6743,5012,8191,16359,8509,3833,495,629,3170,8833,4321,0
49,200000,2,2,1,74,0,8,3,5,0,-1,76321,88788,76261,84864,80383,46922,10989,10691,18704,26617,22461,16319,0
50,200000,1,2,1,51,-1,1,-2,1,3,0,50362,62634,74849,75437,87257,76634,16379,33968,14896,23992,11242,27293,0
51,100000,1,2,2,34,0,0,-1,-1,0,-1,37778,43710,25855,51758,51766,79214,14996,572,6317,18942,18495,23624,0
52,50000,2,2,1,53,0,2,-1,-2,-1,1,19677,41942,7402,30089,12282,10218,1763,30062,3980,17171,973,1376,0
53,300000,2,1,1,21,2,2,2,-1,0,5,97730,145149,93342,127577,166412,160204,97730,98298,48422,18300,77577,77406,1
54,10000,1,1,1,64,-1,-1,-1,-1,-2,5,5909,3590,4949,7248,2703,8826,1432,376,1094,2023,690,1558,0
55,80000,1,1,2,34,-1,0,-1,-1,-1,-1,35610,31440,21879,43779,54857,25136,12706,17715,6815,12718,54857,12799,0
56,30000,2,2,0,43,5,-2,-1,2,-1,0,12252,17267,14439,7211,3708,14256,5581,2932,5643,4481,3708,5498,0
58,30000,2,1,2,32,2,2,0,-2,-1,-1,19947,22309,22592,16038,8547,10644,6360,7923,4387,3728,3954,3081,1
59,50000,2,0,2,69,-1,4,0,-1,-1,1,21794,27426,6400,19774,25432,5191,10722,10877,2952,3011,25432,2348,0
60,100000,1,2,2,68,-1,5,-1,-2,0,-1,47573,49641,56512,54924,86151,62699,20622,10080,3099,23156,36436,22502,0
61,50000,1,1,2,59,-1,4,-1,-1,2,-1,37841,15968,14395,25071,26224,27424,13107,6797,4951,4337,9410,18254,0
62,10000,2,2,1,60,3,-1,0,-2,4,8,3660,2255,5078,4182,7693,5623,696,2255,1889,4182,618,1223,0
63,50000,2,1,2,29,0,6,-1,0,-1,1,36562,15835,26065,27826,33651,10696,15811,8331,26065,14101,33651,3088,0
64,30000,2,2,2,34,8,-1,-1,-1,-1,-1,15866,11751,6583,20768,15402,11007,6625,4205,3527,6251,6172,2454,1
66,20000,2,1,1,43,2,-1,0,3,0,0,3756,7983,9827,12626,10344,13649,1393,2182,2621,2666,3853,13649,1
67,100000,2,2,1,69,5,1,0,-1,-1,0,41290,34956,81313,54061,40311,27274,15788,5890,23836,32260,21409,5657,1
68,200000,2,1,1,61,4,5,3,0,-2,-1,47418,70542,25077,79362,70036,102340,7901,34087,9594,18678,18055,42215,1
69,80000,2,1,2,66,-1,1,0,4,0,-1,30557,38425,26706,21876,58634,54340,9537,14568,7370,7989,13410,18940,0
70,30000,1,2,2,64,-1,3,3,1,0,0,6030,11018,16167,13669,8389,9703,1159,5394,5783,1998,3662,1726,0
71,50000,2,1,2,22,3,-1,2,4,1,-1,15521,40171,28047,26974,23918,18476,5630,3368,28047,9779,4793,3389,0
72,50000,1,2,1,29,3,0,-1,-1,-1,0,28923,13933,13810,17878,34104,14821,14542,3303,8243,1409,15237,4649,0
74,100000,2,1,2,54,5,-2,0,-2,6,0,40518,65415,47789,40869,61211,25043,2663,20292,13327,40869,61211,9389,0
76,100000,1,1,2,66,-2,-1,-1,-1,-1,-1,53017,83703,48511,37947,48954,52075,10798,9262,13819,20038,5681,19312,0
77,80000,2,3,2,21,-1,0,5,4,3,1,27855,41262,28449,50002,72634,47267,6891,14292,12530,32038,40769,22106,0
78,100000,2,3,2,33,3,-1,-2,0,5,1,25311,16580,29427,20164,60223,88367,12499,2658,11150,7880,28062,46791,0
79,10000,1,2,1,74,5,1,8,1,-1,-1,3295,8214,3737,4275,5388,8004,350,8214,1062,1967,1902,3577,0
81,80000,1,2,2,71,-1,-1,1,0,1,-1,12091,28449,30654,47157,31092,17267,12091,28449,30654,19446,12724,8062,0
82,150000,1,3,2,32,-1,-1,5,-1,0,6,109148,75134,30438,118406,76343,93192,109148,30708,30438,25769,22448,21099,0
83,50000,2,1,1,71,-1,-1,1,3,0,-2,21888,29821,22451,38493,28670,28311,6288,10843,7428,12925,6816,9585,0
84,50000,1,1,2,48,-1,3,-1,-1,1,-1,21490,20670,15746,11082,23387,22043,8684,9413,5733,11082,9494,1879,0
85,10000,2,2,1,34,-1,-1,1,-1,8,-1,8554,3875,6830,5565,4289,6727,2169,536,3263,710,1875,545,0
86,150000,2,6,2,23,-1,6,-1,0,-1,-1,54158,61687,65356,42519,62347,120459,11734,38034,65356,5125,8212,120459,1
87,20000,2,1,1,44,8,2,1,-1,6,6,8091,8812,9951,11969,7719,7832,4132,1315,2978,6609,3009,4053,1
88,20000,2,1,2,41,5,-1,-1,2,-1,3,14768,6051,4714,8220,13874,6796,5045,1884,473,3577,3886,1375,0
89,200000,1,2,3,62,1,8,-2,0,-1,8,137442,79607,129757,163654,112934,151629,137442,30327,41087,19686,34755,50269,0
90,20000,1,2,2,61,-1,0,1,5,-1,-1,11944,5703,9329,3949,11481,9253,4965,2200,2021,1093,5840,2959,0
91,20000,2,2,1,50,3,2,0,0,-1,0,6976,9507,5420,5575,6861,5792,3083,5683,5420,2521,2516,2689,1
92,500000,1,2,1,73,-1,-1,-1,8,-2,-1,274376,319401,443482,189327,242144,444318,99635,117052,99682,78181,96612,163150,0
93,150000,2,2,2,43,8,-1,6,-1,-1,-1,94347,46765,33409,72403,36449,103506,29356,46765,9086,22722,3185,34850,1
94,20000,2,2,2,44,-1,3,6,-1,2,-2,5155,12494,3581,5933,9612,8980,707,5294,830,2457,3624,1024,0
96,300000,1,3,1,24,-1,6,-1,6,1,6,168596,117596,218189,105281,63640,230043,67438,34659,218189,105281,21312,88199,0
97,10000,1,1,2,63,-2,1,-1,8,1,-1,966,8021,2987,2384,5445,5344,966,8021,923,614,2566,1297,0
98,10000,1,1,2,32,-1,8,0,6,5,2,7865,2711,5540,3209,5593,6816,4083,895,2097,560,1798,1671,0
99,200000,2,1,3,68,-1,-1,0,0,1,1,63110,38851,57094,98436,76464,85156,11741,14610,13392,24831,17486,38811,0
101,20000,2,1,1,47,0,6,5,6,1,3,7807,17068,15592,6788,6246,9375,7807,7179,15592,6788,685,2184,0
102,30000,2,1,1,26,1,0,0,-1,-2,0,7994,16360,16620,10199,23007,17885,4369,2291,16620,3890,9201,8224,0
103,200000,2,1,2,69,0,-1,-1,-1,-1,1,58403,120944,79828,112490,134245,65534,15392,18389,25724,52165,30639,31669,0
104,50000,1,6,2,59,4,0,2,0,1,3,13073,23641,18476,45819,30672,21928,6633,4269,10453,12848,8433,1781,1
107,20000,2,2,1,68,1,-1,3,0,-1,1,14470,8462,10305,3756,10942,10764,3279,1556,4802,1225,3408,6235,1
108,30000,2,2,2,46,-1,8,0,0,-1,8,10307,15467,4894,9536,13535,7951,1993,2149,2269,4850,7273,2160,0
109,80000,1,1,2,53,3,2,-1,-1,-1,0,21215,27406,33621,70447,59398,48034,6150,6820,11546,9747,23888,22038,1
110,50000,2,2,1,40,-1,-1,-1,-1,-1,3,20488,7654,40993,11138,24494,20710,7790,3522,12912,4433,7663,5943,0
112,30000,1,2,1,30,3,1,0,0,0,6,22733,6034,12787,15631,13965,13586,12441,1464,3305,4407,1933,1762,1
113,80000,2,3,1,73,-1,-2,-1,0,-1,0,64013,55363,44540,17120,17002,20753,17496,37803,19944,7697,6884,8666,0
114,300000,2,2,2,49,3,0,6,1,-1,0,101823,117910,175269,200797,100147,264890,22383,117910,71268,72713,45544,112089,0
115,30000,2,2,1,63,-1,0,1,-1,-1,-2,21034,5331,13569,6728,13557,13072,8625,1467,7762,2350,2913,7689,0
116,30000,1,2,2,59,3,8,4,3,4,0,13860,11052,12929,17128,15675,19343,5329,1907,4387,4997,6818,5424,1
117,300000,1,2,1,63,-1,0,-1,0,6,-1,187449,134583,103386,192040,56463,178952,39968,42794,40322,80981,3458,59321,0
118,500000,1,2,3,53,-1,0,1,-1,5,3,66863,194152,200290,293589,389808,384780,18140,110752,85359,157096,78965,265443,0
119,150000,2,2,3,32,-1,-1,8,6,-1,-1,81169,96488,89002,81278,44221,51207,49138,45021,24682,18835,17203,51207,0
120,20000,2,1,1,43,-1,-1,-1,8,-1,4,11992,10940,4527,10448,14510,9051,6373,3689,4527,1321,1639,3122,0
122,50000,2,1,2,27,-1,-1,0,0,-1,6,23179,37312,30167,26386,19294,11051,14043,15121,18673,26386,4404,5877,0
123,200000,1,1,2,28,2,-1,2,1,2,-1,51872,74929,76326,56301,56279,90229,18716,19984,28782,23605,18106,34506,1
124,10000,1,2,1,49,-1,-1,1,6,3,-2,4567,2503,4571,6523,5429,4048,727,1532,1188,2907,1860,2470,0
125,500000,2,2,2,52,4,-1,-1,-1,5,0,285722,123414,140924,253099,204514,158807,82195,42161,67910,33642,204514,60016,0
126,200000,2,1,0,68,-1,-2,0,0,1,-1,160187,53496,105668,45140,98156,82049,88810,16684,48970,22009,60245,44659,0
127,30000,2,1,2,33,0,-1,-1,0,-1,-1,11035,20466,16499,14530,10442,12471,4323,9076,9167,4583,3716,9000,0
128,30000,2,1,1,34,-1,-1,0,-1,4,-1,8074,8590,13071,29132,13828,8208,3120,1842,2057,6182,6355,2079,0
130,500000,1,2,2,45,0,3,3,0,0,0,218916,99960,147386,373536,249722,249293,78832,47285,83161,74578,142155,112086,0
132,20000,1,1,1,44,-1,-1,-1,-1,-1,0,6078,12278,12574,17751,4401,11563,1549,6678,3382,5403,1309,11563,0
133,100000,1,1,2,44,-1,6,-1,6,-2,1,48839,18003,34902,34768,43217,14838,18479,3649,34902,10646,17252,6012,0
134,200000,1,4,2,31,8,6,8,0,0,1,76815,49037,127418,81579,78035,70356,3876,10321,127418,26611,31296,32803,1
135,200000,1,1,2,32,-2,1,5,0,0,5,125189,63415,34326,136128,122040,50750,55962,24669,11604,58081,37966,29222,1
137,300000,2,3,2,39,8,-1,2,0,-2,-1,65300,212166,205261,70969,209136,94477,9688,47429,66655,37501,209136,44332,1
138,30000,1,2,1,50,-1,-1,1,1,-1,-1,13492,15982,10682,7476,10990,12270,4183,6597,3116,3055,6377,6988,0
139,200000,2,2,2,52,3,1,0,2,0,0,67643,42700,71793,91269,103152,114716,29460,11556,8779,44237,24228,55955,1
140,80000,1,1,1,21,-1,-1,-1,-1,0,0,20723,41358,24739,36589,29403,33553,6734,5374,4797,9371,13278,13389,0
141,300000,2,1,1,53,-1,-1,1,-1,-1,-2,133774,74359,131419,140131,110810,90691,29703,36412,56221,29558,56270,33107,0
142,200000,1,1,1,72,-1,-1,3,2,6,-1,107163,117074,43252,79161,121255,93549,17060,64209,12073,33273,27537,93549,0
144,200000,2,2,2,56,-1,6,1,0,0,1,127349,36290,57630,63508,91317,129494,42661,12153,33495,63508,55011,65374,0
145,500000,2,1,2,73,6,6,0,-1,0,0,126224,152567,294913,165441,92698,305193,126224,75516,61621,47831,49167,145152,1
147,50000,2,2,1,41,0,5,8,-1,1,-1,21957,31389,27438,14117,24021,31300,9891,31389,5365,3463,2285,10659,0
148,50000,2,2,2,35,2,-1,0,2,-1,1,24947,24891,35972,12918,22293,27453,7948,8891,14916,6690,11285,11532,0
149,20000,1,2,2,26,0,-1,0,-1,4,-1,5913,10055,15902,13149,7386,11970,1935,4568,2129,2974,3463,5124,0
151,100000,1,3,1,25,0,-1,1,2,1,-1,40131,72080,19053,34786,62969,32890,23023,28318,7125,17452,23471,11169,0
152,20000,2,1,1,63,4,1,-2,3,-1,-1,8384,15980,7928,7103,6623,8392,2961,6935,1876,2833,3361,4061,1
153,200000,1,1,1,72,1,4,0,0,1,-1,86521,75347,80363,59824,94005,30472,31906,75347,30889,14260,23834,15503,0
154,100000,2,2,1,28,-1,2,0,-1,-1,0,65279,44036,54139,78747,45223,50714,65279,16228,1970,33327,14576,7349,0
155,100000,2,1,2,25,5,0,8,-1,4,0,46493,49961,46996,49770,106096,36313,16653,19778,46996,49770,22755,13373,0
156,100000,2,2,2,46,-1,-1,-2,0,-1,4,30985,24148,59418,14343,62060,50257,9002,24148,27322,14343,29946,23944,0
157,20000,1,3,2,44,-1,8,3,0,1,-1,11740,7100,15946,4349,4089,6501,5977,3575,6786,1065,913,2930,0
158,20000,2,3,1,46,-1,1,1,-1,0,0,11052,10898,13663,2170,7095,7153,11052,4012,5617,902,7095,2974,0
161,30000,2,1,1,27,4,2,0,0,3,6,13247,9376,16592,16228,10051,11808,4250,3609,6421,7256,3997,4229,0
162,300000,1,2,1,44,-1,1,-1,-1,5,8,78918,133970,104315,79557,248263,127498,25258,50483,38434,79557,113149,48667,0
163,100000,2,3,1,38,2,-2,4,-1,-1,-1,43249,16212,25410,33204,42466,46541,17654,1211,10784,8317,20728,8061,1
164,50000,2,1,1,34,1,1,-1,3,8,5,24888,31355,11598,14415,18126,31712,8056,11599,3551,4189,18126,5898,0
165,80000,2,2,2,73,-1,1,-1,5,-2,5,55652,17287,41924,37511,34212,34191,6816,7594,5854,11292,5317,7072,0
166,200000,1,1,3,48,1,-1,0,-1,0,8,140234,70658,147845,47102,106856,63664,52439,9022,147845,21253,36634,10074,0
167,30000,2,1,2,26,4,3,-1,-1,1,-1,14001,15673,11407,10650,8189,20224,14001,5088,5483,2826,3252,8575,1
168,200000,2,3,2,45,2,3,5,3,-1,4,78992,153442,71492,119449,90319,147259,14863,62738,71492,119449,20487,56227,1
169,50000,2,2,2,53,-2,1,-1,-1,-1,1,15213,22473,20974,16156,29853,34290,1751,14443,8546,10528,7155,17261,0
170,50000,1,2,2,47,-1,2,0,-1,-2,-1,10570,25503,17800,18042,19368,24024,4185,25503,8141,4556,2746,24024,0
171,50000,1,1,2,34,5,8,8,6,-1,-1,14500,21218,33625,18670,14451,11734,4405,11324,16467,5957,4803,2411,1
172,100000,2,4,2,39,3,-1,-1,0,3,-1,30342,66605,24872,28383,55824,58712,2777,25057,24872,6710,14948,20834,0
173,80000,1,2,2,28,1,0,2,1,-1,1,43348,41724,48541,12779,42199,21396,14838,20119,8714,5881,13318,7346,1
174,20000,2,2,2,48,6,2,-1,5,6,2,8999,7009,14238,5244,6657,5723,4139,2530,6347,1120,4368,2688,0
176,80000,1,2,2,55,2,-1,-1,0,4,3,30270,20450,45202,22348,61455,33784,30270,3082,16229,13589,27840,33784,0
178,150000,1,2,1,53,4,6,1,0,-1,-1,53728,69631,41791,49518,78319,138257,14105,20059,7401,11148,30151,17321,1
180,150000,1,2,1,50,1,-1,-1,-1,1,-1,56110,99905,94834,71689,91359,69825,22031,34852,41234,22236,33251,30509,0
182,80000,2,1,2,31,4,-1,-1,-2,0,0,75371,30548,54029,36236,21053,23353,26137,10909,12514,12521,9674,10189,1
183,20000,2,1,1,23,0,8,0,5,-1,8,12787,16704,9688,7265,12287,7155,3779,5545,9688,1682,3377,1992,0
184,30000,2,2,2,70,-2,0,-1,1,0,3,14629,5915,18266,25732,8292,20594,5343,2126,2565,25732,1227,9007,0
185,50000,1,1,3,29,-1,5,0,2,-1,4,26451,46580,34044,45496,12399,13684,26451,19803,34044,8453,5324,5418,1
186,100000,1,3,1,46,-1,-1,1,-1,-2,8,33939,31554,74505,76473,24987,48712,15988,31554,19633,24970,11945,14073,0
188,200000,1,3,1,51,-1,0,8,0,3,-1,94170,86598,40084,120175,59293,150923,40036,17243,24058,50647,26454,76479,0
189,100000,1,2,2,55,8,-1,-1,0,0,8,36284,82239,28969,72535,36257,26817,8109,35587,28969,72535,17880,15353,0
191,30000,2,4,1,21,0,-1,-1,-1,0,2,13689,18716,24315,18434,9428,4053,6590,6525,24315,8665,1889,1667,0
192,20000,2,2,2,48,-1,-1,3,-1,0,2,9585,9328,13848,13156,6139,12866,5287,2321,5857,13156,2334,12866,0
193,80000,2,2,1,24,-2,-1,-1,-1,-1,-1,30310,25240,36022,14357,70752,34192,30310,4595,10640,9555,35711,10499,0
196,80000,2,6,1,36,-1,-1,1,4,-1,-1,26158,35340,20699,42477,41563,60198,10130,11002,4226,12228,15048,34783,0
198,50000,2,2,3,31,-1,-1,-1,-1,3,-1,20773,27660,36307,30644,16249,20401,20773,27660,36307,4892,6327,6873,0
199,50000,2,4,2,60,5,2,-1,-1,-1,-1,14722,34113,20320,10157,18470,20838,4010,13547,5648,4303,1252,9709,0
200,300000,1,0,1,64,-1,0,0,-1,-1,-2,147890,109691,98952,81523,72680,158274,41924,55336,98952,24009,31685,43444,0
202,50000,1,3,2,58,1,-1,-1,-1,-1,8,19850,20221,10590,17215,23324,12316,10204,5313,5307,7049,9537,4821,0
203,150000,2,5,1,73,2,3,0,8,4,2,66648,53736,54431,49266,79087,45784,33147,9920,20806,10918,21703,45784,1
207,10000,2,1,1,29,2,1,-2,-1,-2,-1,2968,6169,4805,6369,4474,6580,1473,2717,1661,1665,1600,1407,0
208,50000,2,1,2,52,0,2,0,1,-1,0,26453,8511,25707,41928,26132,24560,2914,2731,11762,10143,11361,2819,1
210,30000,2,3,2,28,3,0,-1,-1,8,4,6936,12742,7687,14137,7934,16124,6936,3877,2919,4542,2910,7633,0
212,80000,1,2,1,62,3,3,-1,-1,6,4,21645,36420,18349,32448,34298,64472,3083,4806,7198,4011,7571,25512,0
213,100000,2,4,2,58,0,-1,0,4,-1,5,44360,53363,52173,55826,27171,85078,26792,29138,19325,12880,12041,43530,0
214,80000,2,1,2,65,-1,0,0,3,-1,8,24414,37474,12103,41232,36579,22857,24414,5427,1000,17162,11637,3166,0
215,30000,1,1,2,41,3,-1,2,3,2,-1,10975,16976,13398,9384,10453,7543,2581,2611,3410,1272,4680,7543,0
216,30000,2,2,1,28,4,-1,-1,-1,0,1,28965,19390,13176,18850,13556,9399,9181,9018,4409,3444,2435,1355,1
217,150000,1,1,1,46,4,0,-1,5,1,1,37169,106050,33457,94727,70561,66071,16148,106050,14907,21883,36259,8457,0
218,80000,2,2,1,44,2,6,8,1,5,3,41363,75903,39917,41769,10693,46882,24374,40368,6526,16355,1841,26417,1
219,20000,1,2,1,47,0,0,1,5,0,-1,6625,5392,11797,6751,6739,10482,2627,5392,4891,1787,2026,3536,0
220,50000,1,2,1,23,-1,-1,-1,1,4,3,41510,27884,14927,11017,14128,20356,16376,8897,6608,2324,4485,13934,0
222,10000,2,1,1,43,6,-2,2,2,5,2,5189,1971,6746,6145,4443,5082,1046,585,6746,6145,2139,2180,1
223,50000,1,2,2,69,-2,1,3,-1,2,8,20178,35469,12606,19031,12674,8907,7776,14884,3112,8772,4152,3443,0
224,10000,2,2,2,70,-1,-1,-1,6,-1,0,4547,3353,3869,5567,6988,6459,1430,1098,430,2651,2775,2432,1
225,150000,1,3,1,33,3,-1,0,8,2,3,38291,63301,63849,33990,51800,35226,38291,12044,39766,22637,7575,35226,1
226,50000,1,1,2,65,4,-1,-1,1,-1,3,10102,30779,25553,20496,14938,16748,3362,6385,4423,8942,5366,2990,0
227,50000,1,1,1,50,-1,-1,-1,-1,-1,0,16764,18075,23937,36731,36838,21930,3097,4544,5871,15003,4567,21930,0
228,50000,1,1,2,68,1,-1,-1,0,0,3,17521,29264,8434,22025,50214,21484,4419,15208,2022,10347,19550,6179,0
229,20000,2,2,2,40,0,-1,5,0,4,6,7402,9792,4041,8764,7726,9243,1210,5378,1871,1272,1820,1803,0
230,100000,2,2,1,59,1,-1,3,0,1,-1,51290,63663,29138,33317,54301,42205,25162,16884,9398,33317,25681,20636,1
231,30000,2,1,2,35,0,0,-1,-1,-1,4,21441,5498,8911,14191,4422,18562,8793,1839,2554,2650,1254,7391,0
233,30000,2,2,1,44,2,-1,-1,6,0,-1,9066,14728,12172,25526,15671,11257,4258,6048,2193,6966,5228,5969,0
234,30000,1,2,1,54,0,-1,8,0,1,6,7830,9463,17857,12573,19283,5975,1236,5106,8286,5300,7334,3509,0
235,20000,2,1,2,69,2,0,0,-1,-1,0,13451,13603,3463,4373,8975,12961,13451,2739,1080,1088,8975,12961,0
236,20000,1,1,2,34,-1,6,1,2,-1,-1,7047,6023,5389,7426,11951,10041,2879,1858,2116,2410,11951,10041,0
237,80000,1,1,1,45,-1,5,4,-1,-1,-1,29871,34696,27863,27718,26015,31943,13183,9599,5758,7575,4449,11947,0
238,100000,2,3,2,58,-1,-1,0,-1,2,-1,40061,58718,30610,32658,72289,14980,40061,19322,18113,4219,4199,3796,0
240,20000,2,4,1,44,6,1,2,0,0,4,6365,9540,5198,6500,12665,4706,3424,4126,2869,2992,3371,1991,0
242,20000,2,2,2,62,1,-1,6,-1,-2,6,10676,10824,6855,11682,4228,4695,3848,3368,1539,6072,4228,2297,1
245,20000,2,2,2,60,-1,2,-1,-1,3,1,9587,13637,8045,5595,4648,10730,5655,6463,1505,2498,1226,10730,0
246,30000,2,2,2,68,-1,-1,6,1,5,-1,26252,13543,12781,16229,9359,9615,26252,5015,7642,4954,960,3286,0
247,20000,1,1,2,42,2,0,1,5,6,8,6247,6413,4135,4627,6134,8015,6247,3038,1025,1235,3090,3688,1
249,100000,2,1,2,40,3,-1,-1,8,-1,4,50993,37058,61692,23649,37988,39821,28006,37058,23505,9000,21959,7806,1
250,20000,2,2,2,22,0,0,-1,-1,-1,1,10505,16754,9116,4173,7365,16111,4164,8097,1218,596,1117,2426,0
252,100000,2,2,1,57,-1,1,-1,4,-1,0,40310,31343,56549,80040,23422,66076,10767,10310,30042,30010,5215,20535,0
255,150000,2,0,2,39,-1,2,0,-1,1,0,83097,72147,32744,71077,63451,113599,83097,25566,32744,22268,7203,18363,0
256,100000,2,1,1,37,-1,1,0,0,-1,4,53327,42091,23845,43955,29459,18085,21340,18969,11143,13252,16700,5248,0
257,30000,2,2,2,34,-1,2,1,2,-1,3,7594,7747,10247,17672,19458,16919,7594,4344,4158,8147,4092,16919,0
260,20000,2,1,2,43,8,1,5,-2,3,-1,7404,14100,5683,8504,12155,7675,1529,2980,2591,4428,3710,4058,0
265,300000,1,2,1,30,4,6,1,6,-1,3,51508,106933,122775,83182,122162,136103,23621,20497,11104,41346,22210,37172,0
266,50000,1,1,1,26,-1,0,2,0,1,-1,28048,22168,19199,44450,25514,12872,4490,8227,4739,15462,6577,5199,0
267,200000,2,2,1,30,-1,-1,0,1,0,-1,83273,105089,184447,96193,124487,28235,15870,55026,85327,40154,18286,9283,0
