id,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength,water_cement_ratio,total_binder,coarse_fine_ratio,log_age
147,144.8,0.0,133.6,180.8,11.1,979.5,811.5,28,13.2,1.2485,278.4,1.207,3.3673
148,133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88,1.4435,333.0,1.1051,1.3863
149,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,14.8,0.6271,295.0,1.3901,2.0794
151,164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,15.09,1.1035,364.3,1.0039,3.3673
152,387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67,0.4057,501.0,1.11,2.0794
153,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75,0.9095,358.4,1.175,2.7081
155,250.0,0.0,95.7,191.8,5.3,948.9,857.2,100,41.16,0.7672,345.7,1.107,4.6151
156,300.0,0.0,120.0,212.0,10.0,878.0,728.0,28,23.84,0.7066,420.0,1.206,3.3673
157,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,71.62,0.3204,540.0,1.8352,5.1985
158,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,0.4548,551.6,1.2499,2.0794
159,322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42,0.5776,471.0,1.3413,3.3673
160,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,0.9667,331.0,1.1852,2.0794
161,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,0.3376,468.8,0.8584,3.3673
162,295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,0.58,391.3,1.1116,2.7081
163,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,0.6,380.0,1.391,5.6021
164,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.3612,531.3,0.9605,1.3863
166,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,0.5333,475.0,1.569,4.5109
167,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93,0.7498,369.7,1.3572,2.7081
168,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01,0.3632,549.0,1.3581,2.0794
169,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02,0.5802,351.7,1.118,1.3863
170,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,28,51.33,0.5798,396.5,1.3551,3.3673
171,157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89,1.2229,393.0,1.1974,2.0794
172,194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28,0.8741,295.2,1.1067,2.7081
173,326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63,0.6095,464.4,1.0108,3.3673
174,152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.35,1.1052,469.0,1.3583,3.3673
175,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,8.0,0.9973,310.3,1.4175,2.0794
176,200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44,0.96,333.0,1.1975,3.3673
177,252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.83,0.5798,351.1,1.1111,4.0431
179,339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.45,0.5811,339.0,1.2394,5.1985
180,157.0,214.0,152.0,200.0,9.0,819.0,704.0,28,33.05,1.2738,523.0,1.1633,3.3673
181,147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92,1.1582,322.9,1.207,3.3673
184,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28,52.5,0.5806,371.9,1.357,3.3673
185,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38,0.75,380.0,1.391,5.6021
187,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22,0.724,343.0,1.357,3.3673
188,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,0.5176,526.9,1.2499,1.3863
189,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24,0.6193,310.0,1.2193,2.0794
190,387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,34.77,0.4057,501.0,1.11,1.3863
193,424.0,22.0,132.0,168.0,8.9,822.0,750.0,7,40.29,0.3962,578.0,1.096,2.0794
194,254.0,0.0,0.0,198.0,0.0,968.0,863.0,365,29.79,0.7795,254.0,1.1217,5.9026
195,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14,32.9,0.982,409.4,1.308,2.7081
196,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32,0.5806,371.9,1.357,4.0431
199,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.73,1.0904,325.8,1.4173,3.3673
200,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,0.5797,399.5,1.3568,2.7081
201,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,56.14,0.3632,549.0,1.3581,4.0431
202,255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.75,0.7529,255.0,0.9416,3.3673
204,424.0,22.0,132.0,168.0,8.9,822.0,750.0,56,74.36,0.3962,578.0,1.096,4.0431
205,339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17,0.5811,339.0,1.2394,4.5109
206,158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68,1.104,423.5,1.3246,3.3673
207,424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05,0.4198,578.0,1.096,3.3673
208,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8,0.5798,396.5,1.3551,1.3863
209,252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4,0.7698,425.0,1.017,3.3673
210,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4,0.9372,335.4,1.3574,1.3863
211,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77,0.9349,348.4,1.3571,3.3673
212,154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29,1.2486,338.2,1.5034,3.3673
213,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,1.0106,426.4,1.3488,4.0431
214,212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7,0.9599,353.3,1.2978,4.5109
215,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57,1.8822,255.0,0.9416,1.3863
216,134.7,0.0,165.7,180.2,10.0,961.0,804.9,28,13.29,1.3377,300.4,1.1939,3.3673
217,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97,0.7498,369.7,1.3572,4.0431
218,350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53,0.58,350.0,1.2568,2.7081
220,491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61,0.4277,640.0,1.2618,1.3863
221,275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24,0.5891,575.0,1.085,3.3673
222,359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,62.94,0.429,519.0,1.176,3.3673
223,238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54,0.7773,238.0,1.417,3.3673
224,313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28,41.05,0.5697,458.3,1.4547,3.3673
225,290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86,0.6399,483.7,1.4173,2.0794
227,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5,1.4328,410.1,1.4032,3.3673
229,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72,1.3356,455.0,1.5039,3.3673
230,238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,19.93,0.7841,332.2,1.1215,1.3863
231,158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62,1.1693,397.0,1.4171,2.0794
232,374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05,0.508,374.0,1.3877,3.3673
233,288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,42.13,0.6146,409.0,1.0953,3.3673
234,192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32,0.9999,480.0,1.2984,3.3673
235,307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,34.49,0.6286,307.0,1.1921,5.1985
236,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,0.4063,485.7,0.9205,1.3863
237,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,0.48,475.0,1.569,2.0794
238,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77,0.9498,397.1,1.268,4.0431
239,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32,0.9351,349.2,1.357,1.3863
243,139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23,1.6942,431.3,1.3249,3.3673
244,425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7,0.3562,531.3,1.1646,4.5218
246,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,0.5054,487.2,1.25,4.5218
250,255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8,0.7387,431.1,1.2265,3.3673
251,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94,0.7241,387.7,1.3569,3.3673
253,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28,24.85,0.8754,315.5,1.3506,3.3673
254,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15,0.7243,388.4,1.3569,3.3673
255,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,13.54,0.7496,312.9,1.1153,1.3863
257,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57,0.7243,388.4,1.3569,1.3863
258,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54,1.0625,329.4,1.357,3.3673
259,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84,0.8498,336.4,1.3571,2.7081
260,333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,23.4,0.5766,333.0,1.1051,2.0794
262,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.6,0.9973,310.3,1.4175,3.3673
263,296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42,0.7479,402.7,1.0524,3.3673
265,366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91,0.5227,553.0,1.089,3.3673
266,315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75,0.4603,452.0,1.5168,3.3673
267,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8,0.5601,575.5,1.7112,1.3863
268,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,0.5601,575.5,1.7112,2.0794
269,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,0.48,475.0,1.569,5.6021
274,160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4,1.1374,410.0,0.9374,3.3673
275,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.3612,531.3,0.9605,1.3863
276,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3,0.5678,606.5,1.4285,1.3863
277,249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36,0.6347,347.9,1.1111,1.3863
278,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1,0.3668,496.5,1.1111,1.3863
279,299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84,0.7054,419.6,1.207,3.3673
281,480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57,0.4,480.0,1.3145,2.0794
282,255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,10.22,0.7529,255.0,0.9416,2.0794
283,397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,39.09,0.466,397.0,1.4169,3.3673
284,250.0,0.0,95.7,191.8,5.3,948.9,857.2,14,24.66,0.7672,345.7,1.107,2.7081
285,295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95,0.58,391.3,1.1116,1.3863
286,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,0.8571,380.0,1.391,4.5109
287,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13,0.5501,349.0,1.299,2.0794
288,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,0.4884,531.3,0.9678,2.0794
289,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7,0.3376,468.8,0.8584,2.0794
290,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,0.9372,335.4,1.3574,3.3673
291,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,1.0106,426.4,1.3488,1.3863
293,155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28,12.46,1.2451,298.0,1.5021,3.3673
294,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66,0.7498,369.7,1.3572,3.3673
295,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28,38.5,0.75,336.8,1.3576,3.3673
296,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,25.18,0.6284,296.0,1.4174,3.3673
297,148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28,17.95,1.0675,285.0,1.2072,3.3673
298,393.0,0.0,0.0,192.0,0.0,940.6,785.6,3,19.2,0.4885,393.0,1.1973,1.3863
299,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2,0.9927,308.6,1.1162,3.3673
300,148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52,1.2229,330.0,0.9491,3.3673
301,200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41,0.96,333.0,1.1975,1.3863
302,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,0.3612,531.3,0.9605,3.3673
303,500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84,0.302,500.0,1.5771,3.3673
304,250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92,0.7496,345.7,1.1111,2.7081
306,277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33,0.6895,277.0,1.1308,5.1985
307,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,0.48,475.0,1.569,3.3673
308,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82,0.5797,399.5,1.3568,4.0431
309,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72,0.8505,295.2,1.1109,3.3673
310,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54,0.5661,325.0,1.3576,2.0794
311,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,0.4884,531.3,0.9678,1.3863
312,359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,23.64,0.429,519.0,1.176,1.3863
315,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36,0.8498,347.9,1.357,1.3863
316,249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,51.06,0.6347,347.9,1.1111,4.6151
