id,size_sqft,property_type,bedrooms,latitude,longitude,locality,suburb,monthly_rent,metro_dist_km,airport_dist_km,aiims_dist_km,railway_station_dist_km,suburb_locality_count,center_dist_km,log_size,bedrooms_per_100sqft,avg_landmark_dist,property_type_freq,locality_grouped
19,500,Independent Floor,1,28.4961,77.1847,Chattarpur,Delhi South,8000,1.5026,11.7601,8.1643,16.519,51,15.276,6.2146,0.2,9.486,11151,Chattarpur
20,800,Independent House,2,28.4963,77.1826,Chattarpur,Delhi South,16000,1.3667,11.5831,8.2008,16.5413,51,15.286,6.6846,0.25,9.423,861,Chattarpur
21,960,Independent Floor,3,28.6985,77.1384,Pitampura,North Delhi,26000,0.2435,16.7657,16.0947,10.2166,17,9.983,6.8669,0.3125,10.83,11151,Pitampura
22,300,Independent House,1,28.584,77.0688,Shiksha Bharti School Road,Other,12500,1.1263,3.5742,13.7264,16.171,442,13.63,5.7038,0.3333,8.649,861,Other
23,600,Independent Floor,2,28.6224,77.0606,Uttam Nagar,West Delhi,10500,0.4253,7.8411,15.6612,15.8037,39,13.31,6.3969,0.3333,9.933,11151,Uttam Nagar
25,1150,Independent Floor,3,28.7145,77.1056,rohini sector 5,West Delhi,25000,0.7168,17.8103,19.1739,13.843,39,13.193,7.0475,0.2609,12.886,11151,Other
26,890,Apartment,3,28.5308,77.2168,Khirki Extension,Other,20000,1.3204,13.2034,4.0905,12.295,442,11.176,6.7912,0.3371,7.727,5694,Khirki Extension
27,1800,Apartment,4,28.5861,77.0486,Sector 11 Dwarka,Dwarka,38000,0.0894,4.9366,15.7163,17.9203,72,15.148,7.4955,0.2222,9.666,5694,Sector 11 Dwarka
28,650,Independent Floor,2,28.635,77.2752,laxmi nagar,Other,10000,0.6415,20.6474,10.0292,5.3827,442,4.991,6.477,0.3077,9.175,11151,laxmi nagar
29,1900,Independent Floor,3,28.6494,77.1437,Kirti Nagar,Delhi Central,45000,0.9765,11.9573,11.0882,7.5762,55,6.515,7.5496,0.1579,7.9,11151,Kirti Nagar
31,1200,Apartment,2,28.6029,77.0492,Sector 4 Dwarka,Dwarka,30000,1.4445,6.3513,16.0176,17.3086,72,14.583,7.0901,0.1667,10.281,5694,Sector 4 Dwarka
32,1400,Apartment,2,28.59,77.0444,Dwarka New Delhi 110075,Dwarka,24000,0.4437,5.5375,16.1923,18.1711,72,15.355,7.2442,0.1429,10.086,5694,Dwarka New Delhi 110075
33,2000,Independent Floor,3,28.5655,77.2382,Lajpat Nagar,Delhi South,55000,0.4345,15.0667,2.9757,8.6128,51,7.546,7.6009,0.15,6.772,11151,Lajpat Nagar
34,651,Independent Floor,2,28.6305,77.2774,laxmi nagar near metro station,Delhi East,15000,0.2486,20.6287,9.8011,5.6795,49,5.159,6.4785,0.3072,9.089,11151,laxmi nagar near metro station
35,2800,Apartment,4,28.5931,77.0354,Sector 12 Dwarka,Dwarka,42000,0.5217,6.4156,17.1128,18.9014,72,15.986,7.9374,0.1429,10.738,5694,Sector 12 Dwarka
36,1152,Independent Floor,2,28.6466,77.1127,Tagore Garden Extension,West Delhi,35000,0.3212,10.5252,12.8275,10.5707,39,8.995,7.0493,0.1736,8.561,11151,Tagore Garden Extension
37,4500,Independent Floor,4,28.5555,77.2337,Greater kailash 1,Delhi South,130000,0.809,14.5861,2.8307,9.6346,51,8.556,8.4118,0.0889,6.965,11151,Greater kailash 1
38,2700,Apartment,2,28.5647,77.1949,Safdarjung Enclave,Delhi South,65000,1.0066,10.8418,1.2832,8.8959,51,7.64,7.901,0.0741,5.507,5694,Safdarjung Enclave
39,1150,Apartment,2,28.6573,77.092,Paschim Vihar,West Delhi,21000,2.2519,11.3666,15.1217,12.7012,39,10.979,7.0475,0.1739,10.36,5694,Paschim Vihar
40,750,Independent Floor,1,28.5352,77.2111,Malviya Nagar,Delhi South,18000,1.036,12.5624,3.5229,11.84,51,10.699,6.6201,0.1333,7.24,11151,Malviya Nagar
41,200,Independent House,3,28.5958,77.0797,VISHWAS PARK UTTAM NAGAR,Other,15500,0.4946,4.5573,12.939,14.7013,442,12.304,5.2983,1.5,8.173,861,Other
42,500,Independent Floor,1,28.4959,77.1853,Chattarpur,Delhi South,10000,1.5637,11.8281,8.1707,16.5299,51,15.291,6.2146,0.2,9.523,11151,Chattarpur
43,1652,Apartment,3,28.5938,77.0435,Dwarka 12 Sector,Other,28000,0.3194,5.8981,16.3487,18.1258,442,15.307,7.4097,0.1816,10.173,5694,Other
44,350,Independent Floor,1,28.6364,77.2928,Preet Vihar,Delhi East,6500,0.3985,22.2688,11.3344,7.0695,49,6.488,5.8579,0.2857,10.268,11151,Preet Vihar
45,1800,Apartment,2,28.6458,77.1716,Patel Nagar,Delhi Central,27000,0.2407,13.1803,9.4395,4.8257,55,4.152,7.4955,0.1111,6.922,5694,Patel Nagar
46,430,Independent Floor,1,28.7127,77.1629,Shalimar Bagh,Delhi North,10000,0.8686,19.0929,16.7533,9.6903,8,10.111,6.0638,0.2326,11.601,11151,Shalimar Bagh
47,1350,Apartment,2,28.5992,77.2961,Mayur Vihar,Delhi East,22000,0.5772,21.2618,9.3542,8.7518,49,7.644,7.2079,0.1481,9.986,5694,Mayur Vihar
48,590,Independent Floor,2,28.6066,77.2937,mayur vihar phase 1,Delhi East,11500,0.4723,21.2342,9.4846,8.1283,49,7.103,6.3801,0.339,9.83,11151,mayur vihar phase 1
49,1025,Independent Floor,2,28.5779,77.0494,Sector 19 Dwarka,Dwarka,20000,0.8345,4.2882,15.5418,18.1798,72,15.411,6.9324,0.1951,9.711,11151,Sector 19 Dwarka
52,1500,Independent Floor,4,28.6656,77.1281,Punjabi Bagh,Delhi Central,20000,0.8628,12.9845,13.4362,9.4321,55,8.429,7.3132,0.2667,9.179,11151,Punjabi Bagh
53,1890,Independent Floor,3,28.5637,77.0606,Sector 22 Dwarka,Dwarka,29000,0.6647,2.5521,14.4096,17.8885,72,15.255,7.5443,0.1587,8.879,11151,Sector 22 Dwarka
55,300,Independent House,1,28.6466,77.1649,Patel Nagar,Delhi Central,10000,0.4566,12.8416,9.7823,5.4802,55,4.709,5.7038,0.3333,7.14,861,Patel Nagar
57,950,Independent Floor,3,28.5097,77.2338,Krishna Park Jawahar Park,Other,17000,3.483,15.4275,6.8225,14.6817,442,13.594,6.8565,0.3158,10.104,11151,Other
58,550,Apartment,1,28.6727,77.104,Paschim Vihar,West Delhi,8600,0.6784,13.191,15.514,11.9168,39,10.617,6.3099,0.1818,10.325,5694,Paschim Vihar
59,500,Apartment,1,28.5254,77.1524,Vasant Kunj,Delhi South,21000,3.0257,7.3875,7.1128,14.5231,51,12.988,6.2146,0.2,8.012,5694,Vasant Kunj
61,1125,Independent Floor,2,28.5342,77.2094,Malviya Nagar,Delhi South,25000,0.8609,12.4238,3.6196,11.9612,51,10.814,7.0255,0.1778,7.216,11151,Malviya Nagar
63,750,Independent Floor,2,28.6554,77.0985,Vishnu Garden,West Delhi,11000,1.7732,11.2187,14.5127,12.0464,39,10.394,6.6201,0.2667,9.888,11151,Other
64,900,Independent Floor,2,28.6491,77.1333,Ramesh Nagar,Delhi Central,20000,0.4614,11.4742,11.6714,8.5852,55,7.354,6.8024,0.2222,8.048,11151,Ramesh Nagar
66,2000,Independent Floor,3,28.5429,77.2117,Panchsheel Park,Delhi South,90000,0.5789,12.5059,2.6823,10.9838,51,9.843,7.6009,0.15,6.688,11151,Panchsheel Park
67,720,Apartment,1,28.5323,77.2181,Khirki Extension,Other,6500,1.1355,13.2985,3.9641,12.1304,442,11.015,6.5793,0.1389,7.632,5694,Khirki Extension
68,650,Independent Floor,1,28.4985,77.1842,Chattarpur,Delhi South,10000,1.2679,11.5691,7.9188,16.2652,51,15.017,6.477,0.1538,9.255,11151,Chattarpur
69,1250,Independent Floor,3,28.6448,77.1359,Mansarover Garden,West Delhi,30000,1.0035,11.1544,11.1371,8.2949,39,7.022,7.1309,0.24,7.897,11151,Mansarover Garden
70,1900,Independent House,3,28.6975,77.1392,Pitampura,North Delhi,45000,0.1705,16.6767,15.9546,10.0833,17,9.85,7.5496,0.1579,10.721,861,Pitampura
71,600,Apartment,1,28.494,77.1602,SULTANPUR,Other,12500,0.5945,10.0144,9.3217,17.4064,442,16.0,6.3969,0.1667,9.334,5694,SULTANPUR
73,350,Independent Floor,1,28.6469,77.1655,Patel Nagar,Delhi Central,10000,0.4194,12.8988,9.7855,5.4283,55,4.675,5.8579,0.2857,7.133,11151,Patel Nagar
74,700,Independent House,1,28.5573,77.2095,Gulmohar park,Delhi South,50000,0.3922,12.2169,1.0723,9.4179,51,8.259,6.5511,0.1429,5.775,861,Gulmohar park
75,950,Independent Floor,2,28.5221,77.2102,Saket,Delhi South,18000,0.9733,12.807,4.9664,13.2956,51,12.157,6.8565,0.2105,8.011,11151,Saket
76,700,Independent Floor,1,28.6442,77.1645,Patel Nagar,Delhi Central,19000,0.4708,12.6051,9.5546,5.4973,55,4.651,6.5511,0.1429,7.032,11151,Patel Nagar
77,1638,Apartment,3,28.6353,77.225,nawada,Delhi Central,25000,0.5294,16.3648,7.7693,0.8245,55,0.822,7.4012,0.1832,6.372,5694,nawada
78,500,Apartment,1,28.6436,77.1688,Pusa,South West Delhi,14000,0.1633,12.8208,9.3276,5.0834,12,4.292,6.2146,0.2,6.849,5694,Pusa
79,300,Independent House,1,28.5222,77.2102,Saket delhi,Other,16000,0.982,12.8102,4.9551,13.2835,442,12.145,5.7038,0.3333,8.008,861,Other
80,900,Apartment,2,28.6432,77.0685,Vikas Puri,West Delhi,17000,1.7889,9.9136,16.0385,14.8822,39,12.664,6.8024,0.2222,10.656,5694,Vikas Puri
81,840,Independent Floor,2,28.667,77.0973,Paschim Vihar,West Delhi,20000,1.3668,12.4866,15.4924,12.3866,39,10.888,6.7334,0.2381,10.433,11151,Paschim Vihar
82,2700,Independent Floor,4,28.6712,77.3177,Vivek Vihar,Delhi East,30000,0.5421,26.1813,15.7876,10.0282,49,9.649,7.901,0.1481,13.135,11151,Vivek Vihar
83,600,Apartment,1,28.5933,77.308,New Ashok Nagar,Delhi East,12000,0.7887,22.2618,10.2321,10.0876,49,8.848,6.3969,0.1667,10.843,5694,New Ashok Nagar
85,1200,Independent Floor,2,28.6773,77.1123,Paschim Vihar,West Delhi,30000,0.0063,13.8361,15.3979,11.3069,39,10.227,7.0901,0.1667,10.137,11151,Paschim Vihar
86,720,Independent Floor,1,28.6685,77.0994,Paschim Vihar,West Delhi,15000,1.1481,12.674,15.4725,12.2284,39,10.787,6.5793,0.1389,10.381,11151,Paschim Vihar
87,600,Apartment,1,28.7068,77.149,Pitampura,North Delhi,15000,1.2531,17.97,16.5384,10.056,17,10.145,6.3969,0.1667,11.454,5694,Pitampura
88,500,Apartment,2,28.6546,77.1331,Bali Nagar,Delhi Central,13000,0.238,12.0199,12.1566,8.6775,55,7.549,6.2146,0.4,8.273,5694,Bali Nagar
89,350,Independent Floor,1,28.6118,77.2895,mayur vihar phase 1,Delhi East,9500,0.7827,21.0099,9.4196,7.5026,49,6.566,5.8579,0.2857,9.679,11151,mayur vihar phase 1
90,1300,Apartment,2,28.5992,77.2961,Mayur Vihar,Delhi East,27000,0.5772,21.2618,9.3542,8.7518,49,7.644,7.1701,0.1538,9.986,5694,Mayur Vihar
92,1250,Independent Floor,1,28.6444,77.2935,Krishna Nagar,Delhi East,25000,0.3583,22.7076,12.0033,7.1264,49,6.685,7.1309,0.08,10.549,11151,Krishna Nagar
93,850,Apartment,1,28.5343,77.2084,Sheikh Sarai,Delhi Central,20000,0.7971,12.323,3.6114,11.9659,55,10.815,6.7452,0.1176,7.174,5694,Sheikh Sarai
94,1800,Apartment,3,28.5921,77.0366,Sector 12 Dwarka,Dwarka,30000,0.4045,6.2591,16.986,18.8288,72,15.924,7.4955,0.1667,10.62,5694,Sector 12 Dwarka
95,850,Independent Floor,2,28.6402,77.1873,Rajinder Nagar,Delhi West,32000,0.425,13.7879,8.3737,3.2726,4,2.682,6.7452,0.2353,6.465,11151,Rajinder Nagar
96,436,Independent Floor,1,28.5223,77.2849,Okhla Phase I,Other,9000,0.797,19.925,9.0149,14.6441,442,13.432,6.0776,0.2294,11.095,11151,Okhla Phase I
97,785,Independent Floor,1,28.6443,77.189,Karol Bagh,North Delhi,13500,0.0608,14.2193,8.7732,3.1135,17,2.748,6.6657,0.1274,6.542,11151,Karol Bagh
98,2400,Independent Floor,3,28.699,77.1384,Pitampura,North Delhi,45000,0.2604,16.8131,16.14,10.2474,17,10.02,7.7832,0.125,10.865,11151,Pitampura
99,450,Independent Floor,1,28.5342,77.2094,Malviya Nagar,Delhi South,17000,0.8609,12.4238,3.6196,11.9612,51,10.814,6.1092,0.2222,7.216,11151,Malviya Nagar
100,1150,Independent Floor,2,28.6449,77.2941,Krishna Nagar,Delhi East,30000,0.3936,22.7865,12.087,7.188,49,6.747,7.0475,0.1739,10.614,11151,Krishna Nagar
101,1650,Apartment,3,28.5769,77.0416,Sector 19 Dwarka,Dwarka,33000,1.3098,4.8639,16.2943,18.9281,72,16.067,7.4085,0.1818,10.349,5694,Sector 19 Dwarka
102,1700,Apartment,3,28.5938,77.0435,Sector 12 Dwarka,Dwarka,30000,0.3184,5.8981,16.3493,18.1267,72,15.307,7.4384,0.1765,10.173,5694,Sector 12 Dwarka
104,900,Independent Floor,2,28.503,77.2074,Neb Sarai,Delhi South,16000,2.0603,13.3138,7.0761,15.4258,51,14.284,6.8024,0.2222,9.469,11151,Neb Sarai
105,900,Independent Floor,1,28.7084,77.1379,Pitampura,North Delhi,18000,0.7925,17.7916,17.1124,10.9621,17,10.851,6.8024,0.1111,11.665,11151,Pitampura
106,850,Apartment,2,28.5038,77.1908,Chattarpur,Delhi South,15000,1.1003,11.8323,7.1884,15.5648,51,14.349,6.7452,0.2353,8.921,5694,Chattarpur
107,1350,Independent Floor,3,28.6719,77.1064,Paschim Vihar,West Delhi,25500,0.8287,13.1375,15.2878,11.6599,39,10.388,7.2079,0.2222,10.228,11151,Paschim Vihar
108,950,Apartment,2,28.5992,77.2961,Mayur Vihar,Delhi East,21000,0.5772,21.2618,9.3542,8.7518,49,7.644,6.8565,0.2105,9.986,5694,Mayur Vihar
109,3000,Apartment,4,28.5908,77.0335,Sector 18A Dwarka,Dwarka,55000,0.7213,6.3944,17.2569,19.1563,72,16.214,8.0064,0.1333,10.882,5694,Sector 18A Dwarka
110,800,Independent Floor,3,28.6345,77.2777,laxmi nagar,Other,15000,0.6245,20.8366,10.1413,5.6278,442,5.193,6.6846,0.375,9.308,11151,laxmi nagar
111,1250,Apartment,2,28.59,77.0444,Dwarka New Delhi 110075,Dwarka,21000,0.4437,5.5375,16.1923,18.1711,72,15.355,7.1309,0.16,10.086,5694,Dwarka New Delhi 110075
112,500,Apartment,2,28.6109,77.2911,mayur vihar phase 1,Delhi East,11000,0.7001,21.1232,9.4943,7.6836,49,6.724,6.2146,0.4,9.75,5694,mayur vihar phase 1
113,2200,Apartment,3,28.5573,77.1645,Vasant Vihar,Delhi South,80000,0.3313,7.8147,4.3682,10.8481,51,9.354,7.6962,0.1364,5.841,5694,Vasant Vihar
114,648,Independent Floor,2,28.5714,77.0709,Sector-8 Dwarka,Other,16000,0.6402,2.2736,13.403,16.5913,442,14.072,6.4739,0.3086,8.227,11151,Sector-8 Dwarka
115,1200,Apartment,3,28.4946,77.1837,Chattarpur,Delhi South,17000,1.582,11.7747,8.3538,16.705,51,15.458,7.0901,0.25,9.604,5694,Chattarpur
116,650,Independent Floor,2,28.6041,77.2896,mayur vihar phase 1,Delhi East,13500,0.0743,20.7749,9.0022,7.9201,49,6.901,6.477,0.3077,9.443,11151,mayur vihar phase 1
117,1125,Independent Floor,3,28.5352,77.2111,Malviya Nagar,Delhi South,35000,1.036,12.5624,3.5229,11.84,51,10.699,7.0255,0.2667,7.24,11151,Malviya Nagar
118,800,Independent Floor,2,28.4955,77.1869,Chattarpur,Delhi South,13000,1.6935,11.9754,8.1677,16.5357,51,15.305,6.6846,0.25,9.593,11151,Chattarpur
119,750,Apartment,2,28.6741,77.0927,Paschim Vihar,West Delhi,22000,0.6251,13.2307,16.3656,13.0151,39,11.549,6.6201,0.2667,10.809,5694,Paschim Vihar
120,850,Independent Floor,2,28.7141,77.1544,Shalimar Bagh,Delhi North,16000,1.5288,18.9182,17.1359,10.3157,8,10.59,6.7452,0.2353,11.975,11151,Shalimar Bagh
121,1100,Independent Floor,1,28.6722,77.0828,Paschim Vihar,West Delhi,18000,0.9981,12.9976,16.9036,13.9007,39,12.247,7.0031,0.0909,11.2,11151,Paschim Vihar
122,450,Apartment,1,28.6429,77.2835,Swasthya Vihar,Delhi East,8500,0.7861,21.7513,11.2129,6.1371,49,5.813,6.1092,0.2222,9.972,5694,Swasthya Vihar
123,1050,Apartment,2,28.5246,77.1491,Vasant Kunj,Delhi South,32000,3.0486,7.1496,7.4115,14.7492,51,13.186,6.9565,0.1905,8.09,5694,Vasant Kunj
125,1000,Independent Floor,2,28.5785,77.0483,Sector 19 Dwarka,Dwarka,20000,0.8912,4.4221,15.6633,18.261,72,15.478,6.9078,0.2,9.809,11151,Sector 19 Dwarka
128,765,Independent Floor,2,28.6489,77.1666,Patel Nagar,Delhi Central,15000,0.495,13.1446,9.9416,5.3441,55,4.671,6.6399,0.2614,7.231,11151,Patel Nagar
130,900,Independent Floor,2,28.5816,77.2488,Jangpura,Delhi South,35000,0.9197,16.3309,4.3335,7.203,51,6.172,6.8024,0.2222,7.197,11151,Jangpura
131,2200,Apartment,4,28.5717,77.0456,Sector 19 Dwarka,Dwarka,40000,1.5475,4.2502,15.8762,18.798,72,15.984,7.6962,0.1818,10.118,5694,Sector 19 Dwarka
132,500,Apartment,1,28.7228,77.1296,Sector 13 Rohini,Rohini,10000,1.636,19.1232,18.9039,12.6573,12,12.556,6.2146,0.2,13.08,5694,Sector 13 Rohini
134,2500,Independent Floor,4,28.5813,77.242,Jangpura Extension,Other,100000,0.3211,15.663,3.7023,7.0135,442,5.975,7.824,0.16,6.675,11151,Jangpura Extension
135,1800,Independent Floor,3,28.6727,77.104,Paschim Vihar,West Delhi,35000,0.6784,13.191,15.514,11.9168,39,10.617,7.4955,0.1667,10.325,11151,Paschim Vihar
136,1050,Apartment,3,28.7044,77.1323,Block ED Dakshini Pitampura,Other,32000,0.1416,17.2153,16.9383,11.0871,442,10.814,6.9565,0.2857,11.346,5694,Other
137,1000,Independent Floor,2,28.5912,77.3082,New Ashok Nagar,Delhi East,14000,0.6919,22.2395,10.1889,10.2275,49,8.974,6.9078,0.2,10.837,11151,New Ashok Nagar
138,1200,Independent Floor,3,28.619,77.0797,Janakpuri,West Delhi,5000,0.6115,7.1255,13.7995,14.0124,39,11.725,7.0901,0.25,8.887,11151,Janakpuri
139,700,Independent Floor,1,28.534,77.2075,Malviya Nagar,Delhi South,18000,0.7116,12.2374,3.6472,12.0117,51,10.856,6.5511,0.1429,7.152,11151,Malviya Nagar
140,1560,Apartment,3,28.5578,77.0598,Sector 22 Dwarka,Dwarka,31000,0.6544,2.4586,14.5195,18.281,72,15.647,7.3524,0.1923,8.978,5694,Sector 22 Dwarka
141,1700,Apartment,3,28.5873,77.0647,Sector 6 Dwarka,Dwarka,38000,0.9973,4.0854,14.1795,16.4028,72,13.819,7.4384,0.1765,8.916,5694,Sector 6 Dwarka
142,1200,Independent Floor,2,28.5855,77.0339,Sector 18B Dwarka,Dwarka,14000,1.0072,6.0182,17.1427,19.3054,72,16.359,7.0901,0.1667,10.868,11151,Sector 18B Dwarka
144,735,Apartment,2,28.6188,77.0571,Uttam Nagar,West Delhi,10000,0.3515,7.576,15.8267,16.2004,39,13.642,6.5999,0.2721,9.989,5694,Uttam Nagar
145,2200,Apartment,4,28.5246,77.1491,Vasant Kunj,Delhi South,70000,3.0486,7.1496,7.4115,14.7492,51,13.186,7.6962,0.1818,8.09,5694,Vasant Kunj
146,1000,Independent House,1,28.6686,77.1019,Paschim Vihar,West Delhi,14000,1.1073,12.7134,15.3122,11.9928,39,10.593,6.9078,0.1,10.281,861,Paschim Vihar
149,270,Apartment,1,28.5911,77.3079,New Ashok Nagar,Delhi East,7000,0.656,22.2045,10.1533,10.2082,49,8.957,5.5984,0.3704,10.805,5694,New Ashok Nagar
151,1250,Apartment,3,28.4987,77.1897,Chattarpur,Delhi South,17000,1.6077,12.0214,7.7594,16.1365,51,14.919,7.1309,0.24,9.381,5694,Chattarpur
152,750,Independent Floor,2,28.7067,77.1712,Shalimar Bagh,Delhi North,20000,0.8635,18.8332,15.9107,8.6831,8,9.204,6.6201,0.2667,11.073,11151,Shalimar Bagh
153,900,Apartment,1,28.6656,77.1281,Punjabi Bagh,Delhi Central,14000,0.8628,12.9845,13.4362,9.4321,55,8.429,6.8024,0.1111,9.179,5694,Punjabi Bagh
154,500,Independent House,1,28.6388,77.2928,Preet Vihar,Delhi East,8500,0.3755,22.3823,11.518,7.0609,49,6.522,6.2146,0.2,10.334,861,Preet Vihar
155,900,Independent Floor,2,28.7043,77.15,Poorvi Pitampura,Other,39000,0.9671,17.7493,16.2519,9.7978,442,9.876,6.8024,0.2222,11.192,11151,Poorvi Pitampura
156,250,Independent Floor,1,28.6445,77.165,Patel Nagar,Delhi Central,13000,0.4214,12.6656,9.575,5.4572,55,4.629,5.5215,0.4,7.03,11151,Patel Nagar
157,500,Apartment,1,28.4978,77.1648,SULTANPUR,Other,9000,0.3733,10.0768,8.7315,16.8567,442,15.479,6.2146,0.2,9.01,5694,SULTANPUR
158,600,Independent Floor,1,28.7081,77.118,Sector7 Rohini,Other,16000,0.7781,17.2837,17.9465,12.4478,442,11.944,6.3969,0.1667,12.114,11151,Other
161,1020,Independent Floor,2,28.6348,77.0995,Ashok Nagar,West Delhi,24500,0.3664,8.9717,12.999,11.8787,39,9.972,6.9276,0.1961,8.554,11151,Ashok Nagar
162,450,Independent Floor,2,28.6223,77.0247,Dwarka Mor,West Delhi,6000,0.832,9.4946,18.9314,19.2824,39,16.349,6.1092,0.4444,12.135,11151,Dwarka Mor
163,1500,Apartment,3,28.5779,77.0494,Sector 19 Dwarka,Dwarka,30000,0.8345,4.2882,15.5418,18.1798,72,15.411,7.3132,0.2,9.711,5694,Sector 19 Dwarka
166,900,Apartment,2,28.5771,77.2399,Lajpat Nagar,Delhi South,24500,0.6842,15.3882,3.3415,7.4001,51,6.351,6.8024,0.2222,6.704,5694,Lajpat Nagar
167,875,Apartment,1,28.655,77.1888,Karol Bagh,North Delhi,15000,1.2382,15.065,9.9485,3.45,17,3.528,6.7742,0.1143,7.425,5694,Karol Bagh
168,1800,Apartment,2,28.6656,77.1281,Punjabi Bagh,Delhi Central,20000,0.8628,12.9845,13.4362,9.4321,55,8.429,7.4955,0.1111,9.179,5694,Punjabi Bagh
169,1500,Apartment,3,28.5961,77.0391,Sector 12 Dwarka,Dwarka,30000,0.4528,6.3849,16.8189,18.4616,72,15.596,7.3132,0.2,10.53,5694,Sector 12 Dwarka
170,1200,Independent Floor,2,28.4984,77.1874,Chattarpur,Delhi South,27000,1.5176,11.8431,7.849,16.2155,51,14.985,7.0901,0.1667,9.356,11151,Chattarpur
171,780,Independent Floor,2,28.6459,77.1681,Patel Nagar,Delhi Central,18000,0.1523,12.9728,9.5868,5.1687,55,4.434,6.6593,0.2564,6.97,11151,Patel Nagar
172,750,Apartment,2,28.6615,77.0806,Paschim Vihar,West Delhi,12000,2.1637,11.8185,16.2738,13.8756,39,12.041,6.6201,0.2667,11.033,5694,Paschim Vihar
173,1800,Apartment,3,28.5723,77.0457,Sector 19 Dwarka,Dwarka,35000,1.4949,4.2699,15.8681,18.7615,72,15.949,7.4955,0.1667,10.099,5694,Sector 19 Dwarka
174,750,Independent Floor,1,28.6438,77.1198,Rajouri Garden,West Delhi,20000,0.64,10.4352,12.1203,9.872,39,8.353,6.6201,0.1333,8.267,11151,Rajouri Garden
175,421,Independent Floor,1,28.5223,77.2849,Okhla Phase I,Other,9000,0.797,19.925,9.0149,14.6441,442,13.432,6.0426,0.2375,11.095,11151,Okhla Phase I
177,1530,Independent Floor,2,28.6769,77.105,Paschim Vihar,West Delhi,28500,0.3368,13.6692,15.8081,11.9663,39,10.751,7.333,0.1307,10.445,11151,Paschim Vihar
178,450,Independent Floor,1,28.6446,77.1883,Karol Bagh,North Delhi,10000,0.0848,14.1945,8.8255,3.1884,17,2.821,6.1092,0.2222,6.573,11151,Karol Bagh
179,1200,Independent Floor,2,28.6378,77.1125,Subhash Nagar,Delhi Central,30000,0.6567,9.5802,12.192,10.5871,55,8.883,7.0901,0.1667,8.254,11151,Subhash Nagar
