id,gas_type
2675,4
2677,4
2682,3
2683,4
2692,3
2696,3
2700,3
2701,4
2704,3
2708,3
2709,4
2712,3
2713,4
2725,4
2729,4
2736,3
2756,3
2758,3
2766,3
2772,3
2773,4
2774,3
2779,4
2784,3
2787,4
2789,4
2792,3
2794,3
2795,4
2802,3
2807,4
2809,4
2811,4
2813,4
2817,4
2822,3
2823,4
2832,3
2847,4
2862,3
2865,4
2869,4
2882,3
2884,3
2894,3
2898,3
2905,4
2910,3
2917,4
2918,3
2919,4
2920,3
2928,3
2937,4
2943,4
2945,4
2947,4
2951,4
2954,3
2967,4
2976,3
2977,4
2992,3
2995,4
2996,3
2997,4
3000,3
3005,6
3020,3
3021,6
3023,6
3026,3
3030,3
3031,6
3033,6
3040,3
3043,6
3044,3
3049,6
3050,3
3051,6
3052,3
3054,3
3056,3
3061,6
3066,3
3079,6
3081,6
3083,6
3084,3
3086,3
3088,3
3091,6
3094,3
3096,3
3101,6
3103,6
3113,6
3116,3
3124,3
3127,6
3131,6
3145,6
3148,3
3151,6
3152,3
3155,6
3158,3
3171,6
3172,3
3175,6
3178,3
3181,6
3189,6
3192,3
3196,3
3199,6
3215,6
3216,3
3231,6
3233,6
3235,6
3240,3
3244,5
3245,4
3247,4
3252,5
3255,4
3257,4
3264,5
3265,4
3272,5
3277,4
3282,5
3283,4
3286,5
3291,4
3292,5
3293,4
3299,4
3300,5
3305,4
3321,4
3325,4
3328,5
3342,5
3345,4
3347,4
3357,4
3371,4
3374,5
3385,4
3387,4
3394,5
3398,5
3405,4
3407,4
3417,4
3421,4
3428,5
3429,4
3433,4
3442,5
3444,5
3445,4
3457,4
3459,4
3462,5
3467,4
3471,4
3480,5
3485,4
3490,5
3491,4
3492,5
3493,4
3498,5
3503,4
3511,4
3514,5
3516,5
3520,5
3522,5
3536,5
3547,4
3549,4
3550,5
3559,4
3564,5
3568,5
3570,5
3571,4
3584,5
3587,4
3588,5
3592,5
3594,5
3599,4
3600,5
3601,1
3607,1
3609,1
3617,1
3624,1
3626,1
3628,1
3634,1
3636,1
3640,1
3641,1
3642,1
3647,1
3649,1
3653,1
3657,1
3659,1
3660,1
3664,1
3676,1
3682,1
3684,1
3686,2
3695,2
3697,2
3702,2
3713,2
3716,2
3717,2
3721,2
3722,2
3724,2
3725,2
3730,2
3743,2
3744,2
3745,2
3746,2
3748,2
3754,2
3756,2
3770,2
3772,2
3773,3
3780,3
3782,3
3783,3
3785,3
3788,3
3790,3
3794,3
3799,3
3811,3
3813,3
3816,3
3822,3
3824,3
3825,3
3828,3
3833,3
3835,3
3838,3
3845,3
3846,3
3849,1
3856,2
3861,2
3869,3
3875,4
3880,4
3883,4
3889,4
3891,4
3905,5
3907,5
3918,5
3920,5
3922,5
3925,5
3929,5
3931,5
3939,5
3947,5
3954,5
3957,5
3963,5
3965,5
3969,5
3971,5
3972,6
3978,6
3983,6
3991,6
3992,6
4009,6
4016,6
4019,6
4021,6
4025,6
4026,6
4032,6
4033,6
4044,6
4054,1
4055,1
4058,1
4059,1
4065,1
4069,1
4073,1
4084,1
4088,1
4096,1
4103,1
4106,1
4109,1
4118,2
4121,2
4141,2
4144,2
4145,2
4147,2
4157,2
4189,2
4191,2
4196,2
4197,2
4199,2
4204,2
4234,2
4237,2
4238,2
4239,2
4248,2
4254,2
4266,1
4269,1
4272,1
4276,1
4278,1
4282,1
4287,1
4294,1
4298,1
4300,1
4307,1
4318,1
4328,1
4331,1
4333,1
4336,1
4338,1
4340,1
4346,2
4347,2
4351,2
4354,2
4359,2
4361,2
4362,2
4365,2
4373,2
4374,2
4377,2
4381,2
4382,2
4387,2
4390,2
4398,2
4401,2
4402,2
4409,2
4411,2
4412,2
4413,2
4428,2
4430,2
4436,2
4437,2
4440,2
4442,2
4447,2
4449,2
4450,2
4455,2
4465,2
4466,2
4472,2
4474,2
4477,2
4479,2
4483,2
4486,2
4487,2
4488,2
4491,2
4492,2
4494,2
4496,2
4504,2
4516,4
4525,2
4527,2
4528,2
4529,2
4530,2
4535,2
4552,1
4553,1
4558,2
4559,1
4561,3
4570,3
4575,3
4582,3
4585,3
4586,3
4596,3
4605,3
4606,3
4607,3
4618,3
4623,3
4628,3
4630,3
4632,3
4644,3
4654,3
4656,3
4658,3
4664,4
4665,4
4666,4
4682,4
4683,4
4692,4
4703,4
4704,4
4709,4
4713,4
4716,4
4718,4
4719,4
4722,4
4728,4
4735,4
4738,4
4742,4
4743,4
4748,4
4750,4
4753,4
4755,4
4768,5
4776,5
4787,5
4793,5
4802,5
4803,5
4804,5
4806,5
4816,5
4817,5
4818,5
4823,5
4830,5
4833,5
4850,5
4855,5
4856,5
4868,5
4870,5
4871,5
4876,5
4877,5
4880,5
4882,5
4885,5
4889,5
4897,5
4903,5
4906,5
4914,5
4920,5
4924,5
4930,5
4936,5
4937,5
4939,5
4941,5
4945,5
4952,5
4957,5
4961,5
4965,5
4977,5
4980,5
4984,5
4992,5
4997,5
4998,5
5004,5
5011,5
5027,5
5029,5
5034,5
5035,5
5044,5
5045,5
5054,5
5056,5
5060,5
5061,5
5066,5
5069,5
5072,5
5075,5
5079,5
5100,5
5107,5
5114,5
5120,5
5122,5
5126,5
5139,5
5142,5
5154,5
5158,5
5163,5
5164,5
5165,5
5167,5
5168,5
5176,5
5182,5
5186,5
5187,5
5193,5
5200,5
5212,5
5213,5
5217,5
5226,5
5239,5
5242,5
5243,5
5244,5
5246,5
5247,5
5249,5
5250,5
5265,5
5269,5
5273,5
5274,5
5277,5
5278,5
5283,5
5287,5
5290,1
5296,1
5299,1
5306,1
5308,1
5312,1
5313,1
5314,1
5316,1
5320,1
5330,1
5331,1
5332,1
5356,1
5389,1
5390,1
5391,1
5392,1
5393,1
5395,1
5396,1
5407,1
5408,1
5411,1
5413,1
5416,1
5427,1
5428,1
5431,1
5432,1
5444,1
5448,1
5451,1
5452,1
5456,1
5457,1
5464,1
5474,1
5481,1
5487,1
5495,1
5496,1
5498,1
5501,1
5502,1
5505,1
5512,1
5513,1
5517,1
5518,1
5528,1
5531,1
5551,1
5555,1
5558,1
5562,1
5565,1
5566,1
5572,1
5575,1
5577,1
5583,1
5584,1
5586,1
5588,1
5589,1
5590,1
5591,1
5592,1
5594,1
5598,1
5602,1
5603,1
5616,1
5619,1
5620,1
5627,1
5633,1
5641,1
5645,1
5648,1
5661,2
5676,2
5685,2
5688,2
5696,2
5698,2
5703,2
5707,2
5709,2
5716,2
5717,2
5723,2
5725,2
5728,2
5743,2
5745,2
5750,2
5754,2
5756,2
5758,2
5759,2
5761,2
5770,2
5772,2
5773,2
5777,2
5787,2
5789,2
5795,2
5803,2
5819,2
5823,2
5824,2
5831,2
5844,2
5851,2
5859,2
5861,2
5867,2
5869,2
5895,2
5896,2
5901,2
5916,2
5917,2
5932,2
5935,2
5938,2
5943,2
5944,2
5945,2
5954,2
5955,2
5965,2
5966,2
5974,2
5983,2
5984,2
5985,2
5990,2
5991,2
5995,2
6002,2
6004,2
6005,2
6013,2
6016,2
6022,2
6036,2
6040,2
6047,2
6049,2
6058,2
6065,2
6067,2
6068,2
6073,2
6075,2
6078,2
6082,2
6084,2
6091,2
6096,2
6108,2
6110,2
6113,2
6135,4
6148,4
6153,4
6160,4
6168,4
6170,4
6178,4
6185,4
6188,4
6193,4
6199,4
6200,4
6204,4
6206,4
6210,4
6212,4
6225,4
6227,4
6229,4
6236,4
6239,4
6244,4
6259,4
6271,4
6282,4
6283,4
6287,4
6298,4
6306,4
6310,4
6322,1
6323,1
6325,1
6326,1
6330,2
6332,2
6338,3
6341,3
6344,3
6348,3
6351,3
6353,3
6359,3
6361,3
6371,3
6373,3
6390,3
6398,3
6399,3
6400,3
6401,3
6405,3
6408,3
6411,3
6418,3
6424,3
6430,3
6434,3
6455,3
6465,3
6466,3
6470,3
6473,3
6474,3
6476,3
6477,3
6483,3
6489,3
6493,3
6494,3
6495,3
6500,3
6502,3
6515,3
6516,3
6518,3
6540,3
6553,4
6564,4
6576,4
6579,4
6581,4
6591,4
6594,4
6601,5
6605,5
6613,5
6614,5
6623,5
6625,5
6629,5
6630,5
6631,5
6632,5
6643,5
6646,5
6652,5
6658,5
6668,5
6677,5
6679,5
6688,5
6690,5
6692,5
6693,5
6696,5
6698,5
6703,5
6705,5
6707,5
6708,5
6711,5
6714,5
6717,5
6729,5
6735,5
6742,5
6743,5
6747,5
6753,5
6758,5
6759,5
6773,5
6774,5
6776,5
6778,5
6781,5
6785,5
6787,5
6790,5
6794,5
6797,5
6802,5
6804,5
6808,5
6822,5
6824,5
6825,5
6827,5
6836,5
6838,5
6842,5
6844,5
6850,5
6864,5
6868,5
6876,1
6884,1
6895,1
6900,1
6914,1
6924,1
6934,2
6935,2
6936,2
6937,2
6943,2
6953,2
6966,2
6974,4
6980,4
6981,4
6983,4
6993,1
7000,1
7006,3
7010,3
7013,4
7032,5
7034,5
7036,5
7045,1
7048,1
7050,1
7051,1
7054,1
7060,1
7065,2
7072,2
7073,2
7074,2
7077,2
7079,2
7082,2
7085,2
7094,2
7096,2
7102,2
7109,3
7131,4
7132,4
7143,4
7152,4
7156,4
7158,4
7166,4
7169,4
7172,5
7188,5
7192,5
7197,5
7200,5
7201,5
7209,5
7211,5
7215,5
7218,5
7225,5
7227,5
7232,5
7248,2
7250,2
7254,2
7258,1
7270,1
7273,1
7292,1
7294,1
7300,1
7309,1
7311,1
7313,1
7315,1
7330,1
7334,1
7336,1
7346,1
7354,1
7355,1
7361,1
7362,1
7380,1
7384,1
7385,1
7386,1
7389,1
7391,1
7416,1
7424,1
7425,1
7428,1
7430,1
7431,1
7438,1
7441,1
7442,1
7446,1
7450,1
7461,1
7462,1
7465,1
7466,1
7468,1
7473,1
7474,1
7475,1
7480,1
7486,1
7488,1
7494,1
7514,1
7516,1
7517,1
7526,2
7534,2
7535,2
7537,2
7542,2
7544,2
7548,2
7552,2
7567,2
7570,2
7571,2
7574,2
7575,2
7576,2
7580,2
7586,2
7591,2
7597,2
7603,2
7605,2
7608,2
7612,2
7620,2
7633,3
7635,3
7639,3
7644,3
7652,3
7655,3
7656,3
7667,3
7679,3
7686,3
7688,3
7690,3
7691,3
7699,3
7700,3
7706,3
7709,3
7715,3
7717,3
7723,3
7724,3
7725,3
7737,4
7746,4
7751,4
7755,4
7756,4
7757,4
7766,5
7769,5
7772,5
7775,5
7779,5
7785,5
7793,5
7795,5
7796,5
7797,5
7806,5
7817,5
7818,5
7820,5
7824,5
7848,5
7852,5
7853,5
7854,5
7856,5
7868,5
7872,5
7874,5
7875,5
7885,5
7897,5
7907,6
7913,1
7919,1
7923,1
7929,1
7931,1
7937,1
7959,1
7964,1
7965,1
7968,1
7969,1
7970,1
7972,1
7977,1
7982,1
7983,1
7995,1
7997,1
7998,1
8010,1
8012,1
8013,1
8014,1
8016,1
8017,1
8019,1
8020,1
8021,1
8027,1
8029,1
8030,1
8032,1
8038,1
8039,1
8041,1
8049,1
8056,1
8067,1
8068,1
8085,1
8091,1
8092,1
8093,1
8102,1
8107,1
8115,1
8116,1
8119,1
8121,1
8128,1
8130,1
8133,1
8136,1
8140,1
8144,1
8150,1
8153,1
8155,1
8157,1
8162,2
8164,2
8180,2
8181,2
8184,2
8189,2
8193,2
8205,2
8206,2
8212,2
8214,2
8218,2
8221,2
8223,2
8224,2
8225,2
8226,2
8230,2
8231,2
8241,2
8242,2
8243,2
8245,2
8252,2
8259,2
8260,2
8261,2
8267,2
8269,2
8273,2
8277,2
8278,2
8282,2
8283,2
8285,2
8292,2
8297,2
8306,2
8311,2
8316,2
8327,2
8329,2
8330,2
8331,2
8332,2
8334,2
8335,2
8341,2
8346,2
8359,2
8360,2
8361,2
8362,2
8367,2
8369,2
8370,2
8375,2
8383,2
8384,2
8387,2
8389,2
8398,2
8399,2
8405,2
8410,2
8417,2
8422,2
8427,2
8432,2
8434,2
8438,2
8441,2
8445,2
8450,2
8454,2
8459,2
8467,2
8475,2
8477,2
8479,2
8497,2
8499,2
8500,2
8504,2
8506,2
8510,2
8516,2
8519,2
8521,2
8527,2
8528,2
8536,2
8544,2
8554,2
8556,2
8557,2
8567,2
8571,2
8581,2
8591,2
8602,2
8605,2
8609,2
8613,5
8620,5
8621,5
8639,5
8643,5
8646,5
8647,5
8649,5
8652,5
8654,5
8659,5
8663,5
8664,5
8666,5
8668,5
8690,5
8691,5
8692,5
8693,5
8694,5
8695,5
8696,5
8698,5
8707,5
8724,5
8731,5
8732,5
8734,5
8739,5
8751,5
8752,5
8758,5
8760,5
8761,5
8767,5
8772,5
8778,5
8779,5
8781,5
8783,5
8784,5
8788,5
8792,5
8793,5
8803,5
8804,5
8807,5
8808,5
8813,5
8821,5
8825,5
8833,5
8850,5
8854,5
8857,5
8865,5
8867,5
8874,5
8875,5
8880,5
8904,5
8914,5
8919,5
8933,5
8936,5
8940,5
8942,5
8943,5
8948,5
8949,5
8953,5
8955,5
8963,5
8965,5
8966,5
8974,5
8985,5
8988,5
8991,5
9007,5
9018,5
9022,5
9025,5
9028,5
9029,5
9036,5
9038,5
9039,5
9048,5
9049,5
9050,5
9053,5
9056,5
9058,5
9064,5
9069,5
9070,5
9077,6
9078,6
9083,6
9086,6
9090,6
9093,6
9098,6
9102,6
9105,6
9106,6
9116,6
9118,6
9122,6
9125,6
9129,6
9131,6
9132,6
9133,6
9136,6
9141,6
9144,6
9145,6
9149,6
9150,6
9151,6
9152,6
9153,6
9163,6
9167,6
9170,6
9171,6
9172,6
9173,6
9177,6
9181,6
9188,6
9203,6
9205,6
9209,6
9211,6
9216,6
9217,6
9227,6
9231,6
9233,6
9242,6
9248,6
9252,6
9253,6
9257,6
9262,6
9271,6
9279,6
9283,6
9285,6
9296,6
9313,6
9318,6
9320,6
9326,6
9335,6
9347,6
9354,6
9356,6
9366,6
9368,6
9372,6
9378,6
9380,6
9385,6
9389,6
9423,6
9424,6
9428,6
9433,6
9437,6
9439,6
9443,6
9448,6
9451,6
9453,6
9457,6
9469,6
9473,6
9479,6
9480,6
9488,6
9492,6
9498,6
9514,6
9517,6
9525,6
9530,6
9532,6
9538,1
9545,2
9556,2
9557,2
9566,1
9570,1
9583,2
9588,1
9590,2
9594,2
9595,1
9601,2
9608,1
9618,2
9621,2
9644,1
9649,1
9655,2
9661,1
9665,1
9666,2
9671,2
9672,1
9675,2
9677,2
9680,1
9686,1
9693,1
9695,2
9696,2
9700,2
9703,2
9712,2
9715,2
9718,1
9719,2
9727,2
9728,1
9739,1
9740,2
9741,2
9742,1
9752,2
9763,2
9772,2
9775,2
9785,2
9787,1
9793,1
9794,1
9799,2
9800,2
9814,1
9815,2
9822,2
9823,2
9825,1
9833,2
9837,2
9838,1
9839,1
9846,1
9848,2
9859,2
9866,1
9872,1
9886,1
9892,2
9896,2
9911,2
9922,2
9926,1
9939,2
9945,1
9949,2
9952,1
9953,2
9966,1
9969,1
9979,2
9981,1
9982,2
9991,1
9992,1
9993,2
9998,2
9999,1
10004,1
10008,1
10012,2
10017,1
10019,2
10020,1
10031,1
10036,1
10041,2
10043,1
10046,2
10054,2
10060,2
10061,2
10068,1
10071,2
10083,1
10091,1
10093,2
10099,1
10101,2
10105,2
10108,2
10114,5
10121,4
10129,4
10132,4
10135,5
10138,5
10141,4
10145,4
10152,4
10153,4
10156,5
10166,5
10176,4
10178,5
10183,4
10185,5
10189,5
10190,5
10194,5
10204,4
10205,5
10207,5
10208,4
10217,5
10220,5
10223,4
10226,4
10227,4
10231,4
10244,5
10245,5
10247,4
10261,5
10263,4
10264,5
10269,4
10274,4
10280,5
10282,4
10285,4
10292,5
10293,4
10298,4
10312,5
10313,4
10315,5
10317,4
10329,4
10336,4
10352,4
10363,5
10364,4
10378,5
10380,4
10385,5
10387,4
10391,4
10395,4
10403,4
10413,5
10414,5
10416,4
10418,4
10425,5
10436,5
10444,5
10450,4
10458,4
10465,5
10470,4
10473,4
10478,4
10496,5
10501,4
10506,4
10513,5
10516,5
10523,5
10526,5
10528,4
10529,4
10533,4
10536,4
10547,5
10556,4
10574,5
10575,4
10581,5
10586,5
10590,5
10591,4
10592,4
10593,5
10594,5
10610,5
10611,4
10622,4
10633,5
10637,5
10641,5
10642,4
10643,4
10644,5
10646,4
10647,4
10649,5
10666,5
10668,5
10671,4
10672,5
10673,4
10697,4
10700,5
10702,4
10712,5
10714,4
10716,5
10718,4
10720,5
10740,6
10743,6
10748,3
10750,6
10751,6
10757,6
10768,6
10772,6
10774,3
10796,3
10802,6
10806,3
10810,6
10812,3
10813,6
10814,6
10820,6
10822,3
10827,6
10829,6
10830,6
10835,3
10836,6
10841,3
10850,3
10857,3
10868,6
10870,6
10875,3
10876,3
10888,3
10889,3
10899,6
10900,3
10901,6
10903,3
10911,3
10913,6
10914,3
10916,6
10923,3
10930,6
10937,3
10941,6
10943,3
10953,6
10954,3
10959,6
10970,6
10973,6
10978,6
10980,3
10981,6
10990,6
10992,6
10993,6
10997,3
11006,6
11013,3
11014,6
11016,3
11019,6
11021,3
11049,6
11050,3
11054,6
11056,6
11062,6
11065,6
11073,3
11087,3
11093,6
11098,3
11106,6
11109,3
11111,3
11117,3
11130,6
11136,6
11144,3
11160,6
11168,6
11170,3
11171,6
11174,6
11177,6
11180,3
11186,6
11189,6
11196,6
11199,6
11200,6
11204,6
11206,6
11209,6
11215,6
11231,6
11232,6
11236,6
11243,3
11246,3
11254,1
11255,3
11260,1
11261,3
11263,1
11267,3
11271,3
11272,1
11274,1
11281,1
11285,3
11292,1
11293,1
11303,3
11307,1
11310,3
11316,1
11321,3
11328,1
11331,1
11333,3
11341,1
11351,3
11352,1
11353,1
11354,1
11355,1
11356,3
11359,1
11364,1
11369,3
11370,1
11371,1
11377,1
11378,3
11390,3
11407,3
11409,1
11412,1
11426,3
11436,3
11437,1
11440,1
11442,3
11445,3
11452,1
11457,1
11473,1
11475,1
11483,3
11484,1
11486,3
11489,3
11492,3
11493,1
11499,1
11501,3
11504,3
11508,1
11509,3
11510,1
11526,1
11534,1
11535,1
11540,3
11541,1
11545,1
11550,1
11551,3
11552,1
11562,1
11563,3
11564,1
11568,1
11573,1
11574,1
11575,3
11581,3
11589,3
11591,1
11605,1
11609,1
11617,3
11621,1
11626,3
11628,1
11635,3
11643,3
11645,1
11653,3
11657,1
11658,1
11659,1
11664,1
11666,3
11668,1
11685,1
11693,3
11695,1
11697,1
11698,1
11705,1
11706,1
11707,1
11708,1
11713,1
11717,1
11720,1
11721,1
11725,1
11726,1
11731,1
11732,1
11736,1
11740,1
11742,1
11750,4
11752,4
11753,4
11756,4
11757,4
11758,4
11761,4
11763,4
11769,4
11772,4
11773,4
11783,4
11787,4
11790,4
11811,6
11813,5
11824,6
11826,5
11829,5
11839,5
11843,6
11845,5
11846,6
11850,6
11852,5
11854,6
11857,5
11860,5
11865,5
11871,6
11873,5
11874,6
11878,6
11880,5
11882,6
11883,6
11884,5
11892,5
11893,6
11895,5
11901,6
11904,5
11905,6
11918,6
11931,5
11937,6
11938,5
11941,6
11946,5
11948,6
11949,6
11951,5
11954,5
11965,6
11975,5
11977,5
11981,5
11985,5
11987,6
11991,6
11999,6
12002,6
12009,5
12018,6
12020,5
12022,6
12028,5
12031,5
12032,5
12049,6
12062,6
12066,6
12072,5
12085,6
12090,5
12093,6
12094,5
12108,6
12117,6
12120,5
12121,5
12122,5
12126,5
12129,5
12140,6
12144,6
12147,6
12148,6
12150,5
12151,6
12152,6
12157,5
12159,6
12160,6
12164,6
12169,5
12177,5
12182,6
12188,5
12190,6
12197,5
12199,6
12203,6
12206,6
12218,6
12220,5
12228,5
12230,6
12232,5
12236,5
12238,6
12242,6
12245,6
12250,6
12251,5
12256,5
12258,6
12268,6
12273,6
12281,6
12284,6
12287,5
12294,5
12298,5
12299,5
12309,5
12313,5
12314,5
12322,5
12326,5
12330,5
12336,6
12341,5
12345,5
12351,6
12356,5
12360,4
12364,2
12369,4
12370,2
12377,4
12383,2
12389,4
12395,2
12402,2
12409,4
12415,2
12425,4
12427,2
12428,4
12446,2
12451,2
12464,4
12469,4
12473,4
12496,4
12499,2
12504,4
12505,4
12506,2
12509,4
12510,2
12518,2
12522,2
12532,4
12533,4
12538,2
12546,2
12552,4
12553,4
12554,2
12569,4
12570,2
12572,4
12576,4
12579,2
12581,4
12588,4
12596,4
12597,4
12604,4
12609,4
12610,2
12614,2
12628,2
12631,4
12638,4
12643,4
12646,4
12648,2
12657,2
12661,2
12662,4
12664,2
12665,2
12675,2
12681,4
12684,4
12692,4
12701,4
12705,2
12724,2
12728,4
12729,2
12734,2
12736,2
12739,2
12743,4
12750,2
12754,4
12756,2
12765,4
12767,2
12774,2
12776,4
12778,2
12781,4
12790,2
12794,2
12810,4
12815,2
12820,4
12835,2
12844,4
12855,4
12863,4
12867,2
12876,4
12877,2
12883,4
12893,2
12894,4
12899,2
12909,4
12920,4
12935,4
12937,2
12944,4
12946,4
12948,2
12950,4
12953,4
12961,4
12963,2
12970,2
12974,2
12978,2
12981,4
12984,4
12994,2
13001,2
13013,4
13014,4
13017,4
13032,2
13033,4
13034,4
13036,2
13037,4
13047,4
13048,4
13060,2
13063,4
13064,2
13065,2
13076,2
13078,4
13083,2
13098,2
13100,4
13101,2
13115,4
13116,2
13127,2
13132,5
13140,4
13143,3
13146,3
13150,5
13159,5
13165,5
13166,5
13168,5
13172,5
13173,5
13174,5
13175,5
13179,5
13181,5
13195,5
13197,5
13200,5
13201,5
13205,5
13209,5
13213,5
13222,5
13229,5
13240,5
13245,5
13248,5
13259,4
13262,3
13271,3
13290,5
13298,5
13300,5
13305,5
13306,5
13307,5
13308,5
13310,4
13315,5
13316,4
13318,4
13320,4
13325,5
13328,4
13335,5
13337,5
13345,5
13347,5
13357,3
13365,3
13368,6
13390,2
13391,1
13406,2
13408,2
13414,2
13416,2
13417,1
13421,1
13422,2
13425,1
13429,1
13431,1
13434,2
13436,2
13437,1
13438,2
13445,5
13457,4
13458,5
13465,5
13469,4
13474,5
13475,4
13486,5
13499,1
13500,1
13503,1
13506,1
13508,1
13510,1
13524,1
13525,1
13532,1
13534,1
13535,1
13538,1
13545,1
13548,1
13561,2
13568,2
13569,2
13572,2
13574,2
13575,2
13576,2
13579,2
13580,2
13591,2
13593,2
13594,2
13602,2
13604,2
13606,2
13621,3
13625,3
13627,3
13636,3
13642,3
13646,3
13657,3
13663,3
13672,3
13679,3
13680,3
13689,3
13691,3
13692,3
13703,3
13704,3
13719,4
13721,4
13728,4
13733,4
13737,4
13738,4
13742,4
13743,4
13744,4
13750,4
13751,4
13753,4
13754,4
13760,4
13767,5
13773,5
13776,5
13782,5
13786,5
13804,5
13811,6
13818,6
13820,6
13822,6
13826,6
13833,6
13836,6
13846,6
13849,6
13859,6
13876,6
13882,6
13886,6
13887,6
13890,6
13894,6
13897,6
13899,6
13904,6
